,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,state,zip,county_name
627,Burger King,"4200 saron road, lexington, ky, 40515, us",6.64,2.55,3.57,11.76,3.83,ky,40515,Fayette
628,Burger King,"1131 lexington road, georgetown, ky, 40324, us",6.64,2.55,3.57,11.76,3.83,ky,40324,Scott
629,Burger King,"1434 east tenth street, jeffersonville, in, 47130, us",7.09,2.69,4.15,9.69,3.79,in,47130,Clark
630,Burger King,"3100 highland road, baton rouge, la, 70802, us",6.49,2.79,3.89,11.69,3.39,la,70802,East Baton Rouge
631,Burger King,"7638 perkins road, baton rouge, la, 70810, us",6.49,2.79,3.89,11.69,3.39,la,70810,East Baton Rouge
632,Burger King,"2100 clearview parkway, metairie, la, 70001, us",6.49,2.79,3.89,11.69,3.39,la,70001,Jefferson
633,Burger King,"176 north university avenue, lafayette, la, 70507, us",6.59,2.79,3.89,11.79,3.39,la,70507,Lafayette
634,Burger King,"2429 west pinhook road, lafayette, la, 70508, us",6.49,2.79,3.89,11.69,3.39,la,70508,Lafayette
635,Burger King,"2256 ambassador caffrey pkway, lafayette, la, 70506, us",6.49,2.79,3.89,11.69,3.39,la,70506,Lafayette
636,Burger King,"3801 moss street, lafayette, la, 70507, us",6.49,2.79,3.89,11.69,3.39,la,70507,Lafayette
637,Burger King,"5301 johnston st, lafayette, la, 70503, us",6.49,2.79,3.89,11.69,3.39,la,70503,Lafayette
638,Burger King,"2713 south claiborne st, new orleans, la, 70125, us",6.59,2.79,3.89,11.79,3.39,la,70125,Orleans
639,Burger King,"185 gause blvd., slidell, la, 70458, us",6.49,2.79,3.89,11.69,3.39,la,70458,St. Tammany
640,Burger King,"120 brownswitch road, slidell, la, 70458, us",6.49,2.79,3.89,11.69,3.39,la,70458,St. Tammany
641,Burger King,"141 north shore boulevard, slidell, la, 70460, us",6.49,2.79,3.89,11.69,3.39,la,70460,St. Tammany
642,Burger King,"2509 25th avenue, gulfport, ms, 39501, us",6.95,2.99,3.95,12.1,3.47,ms,39501,Harrison
