menu_item,menu_item_price,menu_item_calories,restaurant_address
Sour Cream and Chive Baked Potato,3.29,310,"345 Valley Ave, Birmingham, AL, 35209, US"
Plain Baked Potato,2.99,270,"345 Valley Ave, Birmingham, AL, 35209, US"
Bacon Cheese Baked Potato,4.59,440,"345 Valley Ave, Birmingham, AL, 35209, US"
Chili & Cheese Baked Potato,4.49,500,"345 Valley Ave, Birmingham, AL, 35209, US"
Cheese Baked Potato,3.99,450,"345 Valley Ave, Birmingham, AL, 35209, US"
Apple Bites,1.29,35,"345 Valley Ave, Birmingham, AL, 35209, US"
6 PC. Crispy Chicken Nuggets,3.19,270,"345 Valley Ave, Birmingham, AL, 35209, US"
4 PC. Crispy Chicken Nuggets,2.29,180,"345 Valley Ave, Birmingham, AL, 35209, US"
6 PC. Spicy Chicken Nuggets,3.19,280,"345 Valley Ave, Birmingham, AL, 35209, US"
4 PC. Spicy Chicken Nuggets,2.29,190,"345 Valley Ave, Birmingham, AL, 35209, US"
Pretzel Baconator®,8.69,"1,050","2080 Sparkman Drive, Huntsville, AL, 35810, US"
Dave's Single®,5.79,590,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Dave's Double®,6.79,860,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Dave's Triple®,7.79,"1,160","2080 Sparkman Drive, Huntsville, AL, 35810, US"
Baconator®,7.69,960,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Son of Baconator®,5.99,630,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Big Bacon Classic®,6.39,650,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Big Bacon Classic® Double,7.39,910,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Big Bacon Classic Triple,8.39,"1,220","2080 Sparkman Drive, Huntsville, AL, 35810, US"
Bacon Double Stack,3.69,440,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Jr. Bacon Cheeseburger,3.19,370,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Jr. Cheeseburger Deluxe,2.49,340,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Jr. Cheeseburger,1.99,290,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Double Stack™,3.19,410,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Jr. Hamburger,1.59,250,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
French Fries,1.79-2.99,210-470,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Baconator Fries,3.69,460,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Chili Cheese Fries,3.69,520,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Cheese Fries,2.69,470,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Chili,2.99/3.99,240/340,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Sour Cream and Chive Baked Potato,2.79,310,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Plain Baked Potato,2.59,270,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Bacon Cheese Baked Potato,4.19,440,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Chili & Cheese Baked Potato,4.19,500,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Cheese Baked Potato,3.69,450,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Apple Bites,1.59,35,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
6 PC. Crispy Chicken Nuggets,2.99,270,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
4 PC. Crispy Chicken Nuggets,1.99,180,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
6 PC. Spicy Chicken Nuggets,2.99,280,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
4 PC. Spicy Chicken Nuggets,1.99,190,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
Pretzel Baconator®,8.69,"1,050","6102 University Dr Nw, Huntsville, AL, 35806, US"
Dave's Single®,5.79,590,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Dave's Double®,6.79,860,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Dave's Triple®,7.79,"1,160","6102 University Dr Nw, Huntsville, AL, 35806, US"
Baconator®,7.69,960,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Son of Baconator®,5.99,630,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Big Bacon Classic®,6.39,650,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Big Bacon Classic® Double,7.39,910,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Big Bacon Classic Triple,8.39,"1,220","6102 University Dr Nw, Huntsville, AL, 35806, US"
Bacon Double Stack,3.69,440,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Jr. Bacon Cheeseburger,3.19,370,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Jr. Cheeseburger Deluxe,2.49,340,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Jr. Cheeseburger,1.99,290,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Double Stack™,3.19,410,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Jr. Hamburger,1.59,250,"6102 University Dr Nw, Huntsville, AL, 35806, US"
French Fries,1.79-2.99,210-470,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Baconator Fries,3.69,460,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Chili Cheese Fries,3.69,520,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Cheese Fries,2.69,470,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Chili,2.99/3.99,240/340,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Sour Cream and Chive Baked Potato,2.79,310,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Plain Baked Potato,2.59,270,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Bacon Cheese Baked Potato,4.19,440,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Chili & Cheese Baked Potato,4.19,500,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Cheese Baked Potato,3.69,450,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Apple Bites,1.59,35,"6102 University Dr Nw, Huntsville, AL, 35806, US"
6 PC. Crispy Chicken Nuggets,2.99,270,"6102 University Dr Nw, Huntsville, AL, 35806, US"
4 PC. Crispy Chicken Nuggets,1.99,180,"6102 University Dr Nw, Huntsville, AL, 35806, US"
6 PC. Spicy Chicken Nuggets,2.99,280,"6102 University Dr Nw, Huntsville, AL, 35806, US"
4 PC. Spicy Chicken Nuggets,1.99,190,"6102 University Dr Nw, Huntsville, AL, 35806, US"
Pretzel Baconator®,8.69,"1,050","7782 Highway 72 West, Madison, AL, 35758, US"
Dave's Single®,5.79,590,"7782 Highway 72 West, Madison, AL, 35758, US"
Dave's Double®,6.79,860,"7782 Highway 72 West, Madison, AL, 35758, US"
Dave's Triple®,7.79,"1,160","7782 Highway 72 West, Madison, AL, 35758, US"
Baconator®,7.69,960,"7782 Highway 72 West, Madison, AL, 35758, US"
Son of Baconator®,5.99,630,"7782 Highway 72 West, Madison, AL, 35758, US"
Big Bacon Classic®,6.39,650,"7782 Highway 72 West, Madison, AL, 35758, US"
Big Bacon Classic® Double,7.39,910,"7782 Highway 72 West, Madison, AL, 35758, US"
Big Bacon Classic Triple,8.39,"1,220","7782 Highway 72 West, Madison, AL, 35758, US"
Bacon Double Stack,3.69,440,"7782 Highway 72 West, Madison, AL, 35758, US"
Jr. Bacon Cheeseburger,3.19,370,"7782 Highway 72 West, Madison, AL, 35758, US"
Jr. Cheeseburger Deluxe,2.49,340,"7782 Highway 72 West, Madison, AL, 35758, US"
Jr. Cheeseburger,1.99,290,"7782 Highway 72 West, Madison, AL, 35758, US"
Double Stack™,3.19,410,"7782 Highway 72 West, Madison, AL, 35758, US"
Jr. Hamburger,1.59,250,"7782 Highway 72 West, Madison, AL, 35758, US"
French Fries,1.79-2.99,210-470,"7782 Highway 72 West, Madison, AL, 35758, US"
Baconator Fries,3.69,460,"7782 Highway 72 West, Madison, AL, 35758, US"
Chili Cheese Fries,3.69,520,"7782 Highway 72 West, Madison, AL, 35758, US"
Cheese Fries,2.69,470,"7782 Highway 72 West, Madison, AL, 35758, US"
Chili,2.99/3.99,240/340,"7782 Highway 72 West, Madison, AL, 35758, US"
Sour Cream and Chive Baked Potato,2.79,310,"7782 Highway 72 West, Madison, AL, 35758, US"
Plain Baked Potato,2.59,270,"7782 Highway 72 West, Madison, AL, 35758, US"
Bacon Cheese Baked Potato,4.19,440,"7782 Highway 72 West, Madison, AL, 35758, US"
Chili & Cheese Baked Potato,4.19,500,"7782 Highway 72 West, Madison, AL, 35758, US"
Cheese Baked Potato,3.69,450,"7782 Highway 72 West, Madison, AL, 35758, US"
Apple Bites,1.59,35,"7782 Highway 72 West, Madison, AL, 35758, US"
6 PC. Crispy Chicken Nuggets,2.99,270,"7782 Highway 72 West, Madison, AL, 35758, US"
4 PC. Crispy Chicken Nuggets,1.99,180,"7782 Highway 72 West, Madison, AL, 35758, US"
6 PC. Spicy Chicken Nuggets,2.99,280,"7782 Highway 72 West, Madison, AL, 35758, US"
4 PC. Spicy Chicken Nuggets,1.99,190,"7782 Highway 72 West, Madison, AL, 35758, US"
Pretzel Baconator®,8.69,"1,050","8814 Hwy 20 W, Madison, AL, 35758, US"
Dave's Single®,5.79,590,"8814 Hwy 20 W, Madison, AL, 35758, US"
Dave's Double®,6.79,860,"8814 Hwy 20 W, Madison, AL, 35758, US"
Dave's Triple®,7.79,"1,160","8814 Hwy 20 W, Madison, AL, 35758, US"
Baconator®,7.69,960,"8814 Hwy 20 W, Madison, AL, 35758, US"
Son of Baconator®,5.99,630,"8814 Hwy 20 W, Madison, AL, 35758, US"
Big Bacon Classic®,6.39,650,"8814 Hwy 20 W, Madison, AL, 35758, US"
Big Bacon Classic® Double,7.39,910,"8814 Hwy 20 W, Madison, AL, 35758, US"
Big Bacon Classic Triple,8.39,"1,220","8814 Hwy 20 W, Madison, AL, 35758, US"
Bacon Double Stack,3.69,440,"8814 Hwy 20 W, Madison, AL, 35758, US"
Jr. Bacon Cheeseburger,3.19,370,"8814 Hwy 20 W, Madison, AL, 35758, US"
Jr. Cheeseburger Deluxe,2.49,340,"8814 Hwy 20 W, Madison, AL, 35758, US"
Jr. Cheeseburger,1.99,290,"8814 Hwy 20 W, Madison, AL, 35758, US"
Double Stack™,3.19,410,"8814 Hwy 20 W, Madison, AL, 35758, US"
Jr. Hamburger,1.59,250,"8814 Hwy 20 W, Madison, AL, 35758, US"
French Fries,1.79-2.99,210-470,"8814 Hwy 20 W, Madison, AL, 35758, US"
Baconator Fries,3.69,460,"8814 Hwy 20 W, Madison, AL, 35758, US"
Chili Cheese Fries,3.69,520,"8814 Hwy 20 W, Madison, AL, 35758, US"
Cheese Fries,2.69,470,"8814 Hwy 20 W, Madison, AL, 35758, US"
Chili,2.99/3.99,240/340,"8814 Hwy 20 W, Madison, AL, 35758, US"
Sour Cream and Chive Baked Potato,2.79,310,"8814 Hwy 20 W, Madison, AL, 35758, US"
Plain Baked Potato,2.59,270,"8814 Hwy 20 W, Madison, AL, 35758, US"
Bacon Cheese Baked Potato,4.19,440,"8814 Hwy 20 W, Madison, AL, 35758, US"
Chili & Cheese Baked Potato,4.19,500,"8814 Hwy 20 W, Madison, AL, 35758, US"
Cheese Baked Potato,3.69,450,"8814 Hwy 20 W, Madison, AL, 35758, US"
Apple Bites,1.59,35,"8814 Hwy 20 W, Madison, AL, 35758, US"
6 PC. Crispy Chicken Nuggets,2.99,270,"8814 Hwy 20 W, Madison, AL, 35758, US"
