menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
8 Pc. Mozzarella Fries,$3.99,480 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
4 Pc. Mozzarella Fries,$1.99,240 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
4 Pc. Chicken Fries,$1.99,110 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
16 Pc. Chicken Nuggets,$3.99,770 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
8 Pc. Chicken Nuggets,$2.49,390 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
4 Pc. Chicken Nuggets,$1.59,190 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
MOTTS Applesauce,$1.49,50 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Classic Melt,$4.99,600 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Bacon Melt,$5.49,650 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Philly Melt,$5.49,590 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Whopper,$5.19,670 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Impossible™ Whopper,$6.09,630 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Double Whopper,$6.99,920 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Triple Whopper,$8.99,"1,170 cal","1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Bacon King,$7.99,"1,200 cal","1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
BBQ Bacon Whopper Jr.,$3.39,390 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Whopper Jr.,$2.79,330 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Bacon Double Cheeseburger,$3.69,440 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Bacon Cheeseburger,$2.79,340 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Double Cheeseburger,$3.19,400 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Cheeseburger,$1.99,290 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Rodeo Burger,$1.99,340 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Hamburger,$1.69,250 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Have-sies™,$2.99,380 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
French Fries,$2.99,370 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Onion Rings,$2.99,360 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
12 Pc. Chicken Fries,$4.99,340 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
8 Pc. Chicken Fries,$3.79,220 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
12 Pc. Mozzarella Fries,$4.99,730 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
8 Pc. Mozzarella Fries,$3.79,480 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
4 Pc. Mozzarella Fries,$1.99,240 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
4 Pc. Chicken Fries,$1.99,110 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
16 Pc. Chicken Nuggets,$4.99,770 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
8 Pc. Chicken Nuggets,$2.49,390 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
4 Pc. Chicken Nuggets,$1.79,190 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
MOTTS Applesauce,$1.49,50 cal,"1131 Lexington Road, Georgetown, KY, 40324, US",1131 Lexington Road
Classic Melt,$4.99,600 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Bacon Melt,$5.49,650 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Philly Melt,$5.49,590 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Whopper,$5.19,670 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Impossible™ Whopper,$6.09,630 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Double Whopper,$6.99,920 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Triple Whopper,$8.99,"1,170 cal","4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Bacon King,$7.99,"1,200 cal","4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
BBQ Bacon Whopper Jr.,$3.39,390 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Whopper Jr.,$2.79,330 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Bacon Double Cheeseburger,$3.69,440 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Bacon Cheeseburger,$2.79,340 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Double Cheeseburger,$3.19,400 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Cheeseburger,$1.99,290 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Rodeo Burger,$1.99,340 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Hamburger,$1.69,250 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Have-sies™,$2.99,380 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
French Fries,$2.99,370 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Onion Rings,$2.99,360 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
12 Pc. Chicken Fries,$4.99,340 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
8 Pc. Chicken Fries,$3.79,220 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
12 Pc. Mozzarella Fries,$4.99,730 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
8 Pc. Mozzarella Fries,$3.79,480 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
4 Pc. Mozzarella Fries,$1.99,240 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
4 Pc. Chicken Fries,$1.99,110 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
16 Pc. Chicken Nuggets,$4.99,770 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
8 Pc. Chicken Nuggets,$2.49,390 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
4 Pc. Chicken Nuggets,$1.79,190 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
MOTTS Applesauce,$1.49,50 cal,"4200 Saron Road, Lexington, KY, 40515, US",4200 Saron Road
Classic Melt,$4.99,600 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Bacon Melt,$5.49,650 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Philly Melt,$5.49,590 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Whopper,$4.99,670 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Impossible™ Whopper,$5.99,630 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Texas Double Whopper,$8.99,"1,090 cal","2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Double Whopper,$6.39,920 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Triple Whopper,$7.79,"1,170 cal","2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Bacon King,$7.99,"1,200 cal","2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
BBQ Bacon Whopper Jr.,$4.29,390 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Whopper Jr.,$3.49,330 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Bacon Double Cheeseburger,$3.99,440 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Bacon Cheeseburger,$2.99,340 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Double Cheeseburger,$3.49,400 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Cheeseburger,$2.49,290 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Rodeo Burger,$2.19,340 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Hamburger,$2.19,250 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Have-sies™,$2.89,380 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
French Fries,$2.99,370 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Onion Rings,$2.99,360 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
12 Pc. Chicken Fries,$5.49,340 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
8 Pc. Chicken Fries,$4.49,220 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
12 Pc. Mozzarella Fries,$5.49,730 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
8 Pc. Mozzarella Fries,$3.89,480 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
4 Pc. Mozzarella Fries,$1.99,240 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
4 Pc. Chicken Fries,$2.49,110 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
16 Pc. Chicken Nuggets,$2.99,770 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
8 Pc. Chicken Nuggets,$2.49,390 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
4 Pc. Chicken Nuggets,$1.49,190 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
MOTTS Applesauce,$1.49,50 cal,"2806 North Broadway, Knoxville, TN, 37917, US",2806 North Broadway
Classic Melt,$4.99,600 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Bacon Melt,$5.49,650 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Philly Melt,$5.49,590 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Whopper,$5.49,670 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Impossible™ Whopper,$6.49,630 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Texas Double Whopper,$7.49,"1,090 cal","2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Double Whopper,$6.99,920 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Triple Whopper,$8.79,"1,170 cal","2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Bacon King,$7.69,"1,200 cal","2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
BBQ Bacon Whopper Jr.,$4.19,390 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Whopper Jr.,$3.19,330 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
