,restaurant_name,restaurant_location,specialty_item,cheeseburger,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,hamburger,wave,uber_eats,fast_food,small,state,zip,ca,county_name
104,Denny,"487 harbor dr., oceanside, ca, 92054, us",17.56,17.14,5.08,4.56,6.95,26,100,4.5,19,11.4695,,1,1,0,0,ca,92054,1,San Diego
105,Denny,"605 college blvd., oceanside, ca, 92057, us",17.56,17.14,5.08,4.56,6.95,26,100,4.399999999999999,23,11.4695,,1,1,0,0,ca,92057,1,San Diego
106,Denny,"34242 del obispo, dana point, ca, 92629, us",17.46,16.73,5.18,4.35,6.33,25,106,4.299999999999999,40,11.551886792452828,,1,1,0,0,ca,92629,1,Orange
107,Denny,"816 mission st, san francisco, ca, 94103, us",22.76,22.76,8.41,5.18,10.8,15,291,4.399999999999999,100+,14.95979381443299,,1,1,0,0,ca,94103,1,San Francisco
108,Denny,"10 airport blvd, south san francisco, ca, 94080, us",19.54,17.14,5.81,4.77,7.16,80,416,4.1000000000000005,45,12.80798076923077,,1,1,0,0,ca,94080,1,San Mateo
109,Denny,"642 west charter way, stockton, ca, 95206, us",17.98,17.77,5.08,4.56,6.95,25,105,4.0,31,11.59152380952381,,1,1,0,0,ca,95206,1,San Joaquin
110,Denny,"4747 pacific ave., stockton, ca, 95207, us",16.69,16.79,5.09,4.49,6.39,28,103,3.8000000000000003,14,11.241456310679611,,1,1,0,0,ca,95207,1,San Joaquin
111,Denny,"16851 harlan rd, lathrop, ca, 95330, us",19.02,17.77,6.33,4.77,8.41,19,103,4.600000000000002,14,12.891262135922334,,1,1,0,0,ca,95330,1,San Joaquin
112,Denny,"208 madonna rd., san luis obispo, ca, 93405, us",17.35,17.04,5.08,4.46,6.95,25,105,4.200000000000001,46,11.442857142857143,,1,1,0,0,ca,93405,1,San Luis Obispo
113,Denny,"611 five cities dr., pismo beach, ca, 93449, us",17.77,17.25,5.08,4.56,6.95,48,208,4.299999999999999,31,11.554999999999998,,1,1,0,0,ca,93449,1,San Luis Obispo
114,Denny,"1310 24th st., paso robles, ca, 93446, us",17.77,17.25,5.08,4.56,6.95,24,104,4.0,14,11.554999999999998,,1,1,0,0,ca,93446,1,San Luis Obispo
115,Denny,"2920 s. norfolk, san mateo, ca, 94403, us",17.35,17.46,5.29,4.66,6.64,52,194,4.6000000000000005,22,11.935360824742268,,1,1,0,0,ca,94403,1,San Mateo
116,Denny,"1201 broadway, redwood city, ca, 94063, us",19.12,17.56,5.81,4.56,7.16,21,104,3.899999999999999,21,12.638173076923078,,1,1,0,0,ca,94063,1,San Mateo
117,Denny,"1019 east main st., santa maria, ca, 93454, us",17.77,17.25,5.08,4.56,6.95,25,105,4.5,19,11.501238095238095,,1,1,0,0,ca,93454,1,Santa Barbara
118,Denny,"3614 state st, santa barbara, ca, 93105, us",17.77,17.25,5.08,4.56,6.95,25,103,4.5,38,11.311844660194176,,1,1,0,0,ca,93105,1,Santa Barbara
119,Denny,"4095 telegraph road, ventura, ca, 93003, us",17.35,17.25,5.08,4.56,6.95,47,202,4.200000000000001,12,11.596881188118813,,1,1,0,0,ca,93003,1,Ventura
120,Denny,"1390 south first st., san jose, ca, 95112, us",17.46,16.73,5.18,4.35,6.33,47,202,4.299999999999999,83,11.571237623762379,,1,1,0,0,ca,95112,1,Santa Clara
121,Denny,"2401 lanai ave., san jose, ca, 95122, us",17.46,16.73,5.18,4.35,6.33,25,105,4.200000000000001,25,11.519523809523813,,1,1,0,0,ca,95122,1,Santa Clara
122,Denny,"2484 berryessa rd., san jose, ca, 95133, us",17.46,16.73,5.18,4.35,6.33,25,105,4.200000000000001,28,11.51952380952381,,1,1,0,0,ca,95133,1,Santa Clara
123,Denny,"1001 east capitol, san jose, ca, 95121, us",17.46,16.73,5.18,4.35,6.33,25,105,4.700000000000001,50,11.529428571428573,,1,1,0,0,ca,95121,1,Santa Clara
124,Denny,"2077 n 1st st, san jose, ca, 95131, us",18.7,17.25,5.6,4.46,7.06,43,184,4.299999999999999,24,11.918369565217391,,1,1,0,0,ca,95131,1,Santa Clara
125,Denny,"910 saratoga ave, san jose, ca, 95129, us",17.77,17.35,5.08,4.46,6.95,47,200,4.399999999999999,21,11.498299999999999,,1,1,0,0,ca,95129,1,Santa Clara
126,Denny,"3715 el camino real, santa clara, ca, 95051, us",17.29,16.79,5.09,4.39,6.69,36,98,4.600000000000001,36,11.322653061224491,,1,1,0,0,ca,95051,1,Santa Clara
