,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,wave,uber_eats,fast_food,small,state,zip,county_name,ca
2627,Burger King,"3400 fredricksburg, san antonio, tx, 78201, us",7.69,2.79,3.59,12.59,3.59,,,8,79,4.199999999999999,350+,7.899620253164559,2,1,1,0,tx,78201,Bexar,0
2628,Burger King,"412 e commerce st, san antonio, tx, 78205, us",,,,,3.13,,,4,53,4.1,800+,12.724528301886792,2,1,1,0,tx,78205,Bexar,0
2629,Burger King,"903 probandt st., san antonio, tx, 78204, us",,,,,,,,23,136,4.100000000000001,1,7.609117647058823,2,1,1,0,tx,78204,Bexar,0
2630,Burger King,"742 sequin st, san antonio, tx, 78208, us",,,,,,,,15,52,4.199999999999999,600+,5.650961538461539,2,1,1,0,tx,78208,Bexar,0
2631,Burger King,"903 east commerce st., san antonio, tx, 78205, us",,,,,,,,17,91,4.100000000000001,900+,9.108131868131869,2,1,1,0,tx,78205,Bexar,0
2632,Burger King,"8131 pat booker rd, live oak, tx, 78233, us",7.84,2.05,4.29,12.26,3.43,,,10,80,4.1000000000000005,700+,7.456874999999999,2,1,1,0,tx,78233,Bexar,0
2633,Burger King,"9175 farm-to-market 78, converse, tx, 78109, us",7.09,3.12,4.09,10.88,3.65,,,14,78,4.100000000000002,110+,7.136666666666668,2,1,1,0,tx,78109,Bexar,0
2634,Burger King,"1134 pat booker rd, universal city, tx, 78148, us",,,,,3.25,,,4,53,4.4,600+,12.599056603773585,2,1,1,0,tx,78148,Bexar,0
2635,Burger King,"17220 interstate highway 35 north, schertz, tx, 78154, us",,,,,4.99,,,14,143,4.399999999999999,700+,14.542167832167834,2,1,1,0,tx,78154,Bexar,0
2636,Burger King,"17455 ih 35 n, schertz, tx, 78154, us",,,,,,,,20,91,4.399999999999999,400+,9.394285714285713,2,1,1,0,tx,78154,Bexar,0
2637,Burger King,"11001a fuqua, houston, tx, 77089, us",6.89,2.39,3.19,11.59,3.09,,,11,80,4.5,700+,7.450749999999999,2,1,1,0,tx,77089,Harris,0
2638,Burger King,"1601 e. hwy 6, alvin, tx, 77511, us",6.89,2.39,3.19,11.59,3.09,,,23,174,4.5,290+,7.47,2,1,1,0,tx,77511,Brazoria,0
2639,Burger King,"2902 richey street, houston, tx, 77017, us",6.89,2.39,3.39,11.69,3.19,,,20,160,4.200000000000001,220+,7.425750000000001,2,1,1,0,tx,77017,Harris,0
2640,Burger King,"4676 bellfort avenue, houston, tx, 77051, us",6.89,2.39,3.39,11.69,3.19,,,10,80,4.1000000000000005,1,7.425749999999999,2,1,1,0,tx,77051,Harris,0
2641,Burger King,"2411 south wayside drive, houston, tx, 77023, us",6.89,2.39,3.19,11.59,3.09,,,11,80,4.3999999999999995,1,7.450749999999999,2,1,1,0,tx,77023,Harris,0
2642,Burger King,"3503 east broadway, pearland, tx, 77581, us",6.55,1.69,3.59,11.09,3.25,,,12,78,4.800000000000001,360+,7.092179487179488,2,1,1,0,tx,77581,Brazoria,0
2643,Burger King,"3332 k ave, plano, tx, 75074, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.3999999999999995,800+,7.594624999999999,2,1,1,0,tx,75074,Collin,0
2644,Burger King,"2565 e president george bush hwy, plano, tx, 75074, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.5,600+,7.594624999999999,2,1,1,0,tx,75074,Collin,0
2645,Burger King,"19009 preston road, suit 300, dallas, tx, 75252, us",,,,,,,,5,92,4.600000000000001,2,9.989782608695652,2,1,1,0,tx,75252,Collin,0
2646,Burger King,"2548 k avenue, plano, tx, 75074, us",,,,,3.01,,,3,53,4.199999999999998,700+,12.371698113207549,2,1,1,0,tx,75074,Collin,0
2647,Burger King,"150 w. parker rd., plano, tx, 75075, us",,,,,,,,12,109,4.200000000000001,2,6.674311926605504,2,1,1,0,tx,75075,Collin,0
2648,Burger King,"1205 jupiter rd, plano, tx, 75074, us",,,,,,,,22,149,4.600000000000001,1,7.103489932885907,2,1,1,0,tx,75074,Collin,0
2649,Burger King,"801 n. industrial, dallas, tx, 75207, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.3,1,7.558617021276595,2,1,1,0,tx,75207,Dallas,0
2650,Burger King,"5119 ross ave, dallas, tx, 75206, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.3,1,7.558617021276595,2,1,1,0,tx,75206,Dallas,0
2651,Burger King,"102 east jefferson boulevard, dallas, tx, 75203, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.2,500+,7.5586170212765955,2,1,1,0,tx,75203,Dallas,0
2652,Burger King,"2525 west davis, dallas, tx, 75211, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.600000000000002,500+,7.558617021276595,2,1,1,0,tx,75211,Dallas,0
2653,Burger King,"725 w illinois ave, dallas, tx, 75224, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.3,490+,7.558617021276595,2,1,1,0,tx,75224,Dallas,0
2654,Burger King,"3020 west mockingbird lane, dallas, tx, 75235, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.399999999999998,330+,7.558617021276595,2,1,1,0,tx,75235,Dallas,0
2655,Burger King,"200 w, irving, tx, 75060, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.0,500+,7.594624999999999,2,1,1,0,tx,75060,Dallas,0
2656,Burger King,"2525 west airport freeway, irving, tx, 75062, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.3,390+,7.5586170212765955,2,1,1,0,tx,75062,Dallas,0
2657,Burger King,"1950 esters road, irving, tx, 75061, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.5,600+,7.594624999999999,2,1,1,0,tx,75061,Dallas,0
2658,Burger King,"915 north beltline road, grand prairie, tx, 75050, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.0,420+,7.594624999999999,2,1,1,0,tx,75050,Dallas,0
2659,Burger King,"8383 north stemmons freeway, dallas, tx, 75247, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.3,420+,7.558617021276595,2,1,1,0,tx,75247,Dallas,0
2660,Burger King,"1548 n cockrell hill rd, dallas, tx, 75211, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.3999999999999995,190+,7.594624999999999,2,1,1,0,tx,75211,Dallas,0
2661,Burger King,"2542 ne 30th street, ft. worth, tx, 76106, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.200000000000001,420+,7.594624999999999,2,1,1,0,tx,76106,Tarrant,0
2662,Burger King,"3112 e berry st, fort worth, tx, 76119, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.1000000000000005,900+,7.594624999999999,2,1,1,0,tx,76119,Tarrant,0
2663,Burger King,"2605 jacksboro hwy, river oaks, tx, 76114, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.5,500+,7.594624999999999,2,1,1,0,tx,76114,Tarrant,0
2664,Burger King,"730 w seminary dr, fort worth, tx, 76115, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.1000000000000005,290+,7.594624999999999,2,1,1,0,tx,76115,Tarrant,0
2665,Burger King,"3905 n.e. loop 820, haltom city, tx, 76137, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.100000000000002,500+,7.5586170212765955,2,1,1,0,tx,76137,Tarrant,0
2666,Burger King,"3204 southeast loop 820, forest hill, tx, 76140, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.3999999999999995,280+,7.594624999999999,2,1,1,0,tx,76140,Tarrant,0
2667,Burger King,"425 south, el paso, tx, 79901, us",6.9,2.93,3.83,12.28,3.57,,,11,94,4.7,260+,7.790425531914893,2,1,1,0,tx,79901,El Paso,0
