menu_item,menu_item_price,menu_item_calories,restaurant_address
Double Spicy Western Bacon Cheeseburger®,6.99,1060,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Spicy Western Bacon Angus Cheeseburger®,7.49,940,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Famous Star® with Cheese,5.99,670,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Beyond Famous Star® with Cheese,7.99,770,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Super Star® with Cheese,7.39,920,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Western Bacon Cheeseburger®,6.99,760,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Western Bacon Cheeseburger®,8.29,1020,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
The Big Carl®,7.89,920,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Original Angus Burger,8.49,820,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Guacamole Bacon Angus Burger,8.59,960,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Jalapeño Angus Burger,8.79,830,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
California Classic Double Cheeseburger,3.99,560,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Big Hamburger,3.89,480,"1155 W RIVERDALE RD UNIT A RIVERDALE, UT 84405"
Double Spicy Western Bacon Cheeseburger®,7.69,1060,"5722 S 49TH WEST AVE TULSA, OK 74107"
Spicy Western Bacon Angus Cheeseburger® Combo,6.00,480,"5722 S 49TH WEST AVE TULSA, OK 74107"
Hand-Crafted Strawberry Lemonade,2.79,270,"5722 S 49TH WEST AVE TULSA, OK 74107"
Spicy Western Bacon Cheeseburger®,6.39,810,"5722 S 49TH WEST AVE TULSA, OK 74107"
Double Spicy Western Bacon Cheeseburger®,7.69,1060,"5722 S 49TH WEST AVE TULSA, OK 74107"
Spicy Western Bacon Angus Cheeseburger®,7.39,940,"5722 S 49TH WEST AVE TULSA, OK 74107"
Famous Star® with Cheese,5.69,670,"5722 S 49TH WEST AVE TULSA, OK 74107"
Beyond Famous Star® with Cheese,7.99,770,"5722 S 49TH WEST AVE TULSA, OK 74107"
Super Star® with Cheese,7.29,920,"5722 S 49TH WEST AVE TULSA, OK 74107"
Western Bacon Cheeseburger®,6.49,760,"5722 S 49TH WEST AVE TULSA, OK 74107"
Double Western Bacon Cheeseburger®,7.79,1020,"5722 S 49TH WEST AVE TULSA, OK 74107"
The Big Carl®,6.39,920,"5722 S 49TH WEST AVE TULSA, OK 74107"
Original Angus Burger,7.09,820,"5722 S 49TH WEST AVE TULSA, OK 74107"
Guacamole Bacon Angus Burger,7.49,960,"5722 S 49TH WEST AVE TULSA, OK 74107"
Jalapeño Angus Burger,7.39,830,"5722 S 49TH WEST AVE TULSA, OK 74107"
California Classic Double Cheeseburger,4.09,560,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Hamburger,3.79,480,"5722 S 49TH WEST AVE TULSA, OK 74107"
