,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
76,Denny,"1310 24th st., paso robles, ca, 93446, us",12.266132075471697,10.07,7.4324565596347725,4.2,136,170+,5.81,18.29,,,,ca,93446,San Luis Obispo,2024-05-14,1,1,0,0
77,Denny,"1360 holiday lane, fairfield, ca, 94534, us",13.149905660377362,12.305,8.914812720419684,4.5,135,340+,6.74,18.29,,,,ca,94534,Solano,2024-05-14,1,1,0,0
78,Denny,"304 pittman rd, cordelia, ca, 94534, us",12.812476190476165,10.8,7.569309559121897,4.5,270,130+,5.81,19.54,,,,ca,94534,Solano,2024-05-14,1,1,0,0
79,Denny,"1390 south first st., san jose, ca, 95112, us",12.260370370370376,11.370000000000001,7.565852492409554,4.3,138,800+,6.02,17.56,,,,ca,95112,Santa Clara,2024-05-14,1,1,0,0
80,Denny,"1507 herndon rd., ceres, ca, 95307, us",12.275514018691588,10.07,7.484047612156035,4.2,137,290+,5.81,18.91,,,,ca,95307,Stanislaus,2024-05-14,1,1,0,0
81,Denny,"1515 ocean st., santa cruz, ca, 95060, us",12.37693069306931,12.46,7.398400515200254,4.2,131,400+,6.02,17.46,,,,ca,95060,Santa Cruz,2024-05-14,1,1,0,0
82,Denny,"1555 east f st, oakdale, ca, 95361, us",13.634134615384621,12.565,8.66099741220296,4.2,132,50,7.16,18.29,,,,ca,95361,Stanislaus,2024-05-14,1,1,0,0
83,Denny,"1635 glendale ave., hanford, ca, 93230, us",11.871851851851853,10.125,7.164448900796642,4.2,138,280+,5.81,17.14,,,,ca,93230,Kings,2024-05-14,1,1,0,0
84,Denny,"16851 harlan rd, lathrop, ca, 95330, us",13.68933333333334,13.19,8.637627790155687,4.6,134,150+,7.16,18.29,,,,ca,95330,San Joaquin,2024-05-14,1,1,0,0
85,Denny,"1745 el camino real, santa clara, ca, 95050, us",13.062897196261671,12.57,8.931508753598102,4.5,274,430+,6.74,18.29,,,,ca,95050,Santa Clara,2024-05-14,1,1,0,0
86,Denny,"1776 powell street, emeryville, ca, 94608, us",12.255555555555528,11.370000000000001,7.572301418025576,4.4,414,1,6.02,17.56,,,,ca,94608,Alameda,2024-05-14,1,1,0,0
87,Denny,"1803 marina blvd, san leandro, ca, 94577, us",13.06289719626168,12.57,8.931508753598104,4.2,548,500+,6.74,18.29,,,,ca,94577,Alameda,2024-05-14,1,1,0,0
88,Denny,"200 s akers st, visalia, ca, 93291, us",12.008076923076924,10.54,7.254887222381024,4.6,134,250+,5.81,17.14,,,,ca,93291,Tulare,2024-05-14,1,1,0,0
