,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,fries,combo,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
73,Carls Jr,"3215 n. broadway, los angeles, ca, 90031, us",8.922105263157894,9.29,2.5127309088914824,,19,,5.79,7.19,,,,ca,90031,Los Angeles,2024-06-15,0,1,1,0
74,Carls Jr,"3255 saviers rd, oxnard, ca, 93033, us",7.04,7.390000000000001,1.8714967272212901,,18,,3.29,5.49,,,,ca,93033,Ventura,2024-06-15,0,1,1,0
75,Carls Jr,"3350 s mooney blvd, visalia, ca, 93277, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,93277,Tulare,2024-06-15,0,1,1,0
76,Carls Jr,"3770 telegraph ave, oakland, ca, 94609, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,94609,Alameda,2024-06-15,0,1,1,0
77,Carls Jr,"3897 sonoma blvd, vallejo, ca, 94589, us",8.248421052631578,8.69,2.0078956335791607,,19,,4.99,6.69,,,,ca,94589,Solano,2024-06-15,0,1,1,0
78,Carls Jr,"402 s main st, orange, ca, 92868, us",7.123333333333331,7.49,1.887679351302369,,18,,3.39,5.59,,,,ca,92868,Orange,2024-06-15,0,1,1,0
79,Carls Jr,"40375, murrieta, ca, 92563, us",8.306666666666665,8.79,1.9425784697435289,,18,,4.99,7.39,,,,ca,92563,Riverside,2024-06-15,0,1,1,0
80,Carls Jr,"4186, oceanside, ca, 92056, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,92056,San Diego,2024-06-15,0,1,1,0
81,Carls Jr,"4315 sierra college blvd, rocklin, ca, 95650, us",7.789999999999998,7.99,1.7907168024751057,,15,,5.49,6.79,,,,ca,95650,Placer,2024-06-15,0,1,1,0
82,Carls Jr,"4424 university parkway, san bernardino, ca, 92407, us",7.123333333333331,7.49,1.887679351302369,,18,,3.39,5.59,,,,ca,92407,San Bernardino,2024-06-15,0,1,1,0
83,Carls Jr,"4595 century blvd., pittsburg, ca, 94565, us",8.258947368421053,8.79,1.9824994716581017,,19,,4.99,6.89,,,,ca,94565,Contra Costa,2024-06-15,0,1,1,0
84,Carls Jr,"4595 century boulevard, pittsburg, ca, 94565, us",8.12375,8.79,1.8689431338325944,,24,,4.99,6.89,,,,ca,94565,Contra Costa,2024-06-15,0,1,1,0
85,Carls Jr,"4610, carpinteria, ca, 93013, us",8.09578947368421,8.89,1.940529813138327,,19,,4.89,7.19,,,,ca,93013,Santa Barbara,2024-06-15,0,1,1,0
86,Carls Jr,"46637 mission boulevard, fremont, ca, 94539, us",8.381304347826088,9.09,1.7103045860131514,,23,,5.99,8.99,,,,ca,94539,Alameda,2024-06-15,0,1,1,0
87,Carls Jr,"495 stony point rd, santa rosa, ca, 95401, us",8.58,8.99,2.6278488300669447,,19,,4.19,7.19,,,,ca,95401,Sonoma,2024-06-15,0,1,1,0
88,Carls Jr,"5000 el camino real, los altos, ca, 94022, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,94022,Santa Clara,2024-06-15,0,1,1,0
89,Carls Jr,"5007 e mckinley ave, fresno, ca, 93727, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,93727,Fresno,2024-06-15,0,1,1,0
90,Carls Jr,"5225 canyon crest dr ste 82, riverside, ca, 92507, us",8.01157894736842,8.49,1.9535561720747943,,19,,4.59,6.99,,,,ca,92507,Riverside,2024-06-15,0,1,1,0
91,Carls Jr,"5501 freeport ave, sacramento, ca, 95822, us",8.258947368421053,8.79,1.9824994716581017,,19,,4.99,6.89,,,,ca,95822,Sacramento,2024-06-15,0,1,1,0
92,Carls Jr,"5670 thornton avenue, newark, ca, 94560",8.381304347826088,9.09,1.7103045860131514,,23,,5.99,8.99,,,,ca,94560,Alameda,2024-06-15,0,1,1,0
93,Carls Jr,"611 douglas dr, oceanside, ca, 92058, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,92058,San Diego,2024-06-15,0,1,1,0
94,Carls Jr,"620 w foothill blvd, rialto, ca, 92376, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,92376,San Bernardino,2024-06-15,0,1,1,0
95,Carls Jr,"6201 mack road, sacramento, ca, 95823, us",8.258947368421053,8.79,1.9824994716581017,,19,,4.99,6.89,,,,ca,95823,Sacramento,2024-06-15,0,1,1,0
96,Carls Jr,"6460 redwood dr, rohnert park, ca, 94928, us",8.58,8.99,2.6278488300669447,,19,,4.19,7.19,,,,ca,94928,Sonoma,2024-06-15,0,1,1,0
97,Carls Jr,"660 hacienda dr, vista, ca, 92081, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,92081,San Diego,2024-06-15,0,1,1,0
98,Carls Jr,"6601 atlantic ave, long beach, ca, 90805, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,90805,Los Angeles,2024-06-15,0,1,1,0
99,Carls Jr,"69 w nuevo rd, perris, ca, 92571, us",7.123333333333331,7.49,1.887679351302369,,18,,3.39,5.59,,,,ca,92571,Riverside,2024-06-15,0,1,1,0
100,Carls Jr,"695 h st, chula vista, ca, 91910, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,91910,San Diego,2024-06-15,0,1,1,0
