,menu_item,price,calories,address
181,6 PC. Spicy Chicken Nuggets,2.99,280,"345 Valley Ave, Birmingham, AL, 35209, US"
182,4 PC. Spicy Chicken Nuggets,2.19,190,"345 Valley Ave, Birmingham, AL, 35209, US"
183,Pretzel Baconator®,8.69,"1,050","2080 Sparkman Drive, Huntsville, AL, 35810, US"
184,Dave's Single®,5.79,590,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
185,Dave's Double®,6.79,860,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
186,Dave's Triple®,7.79,"1,160","2080 Sparkman Drive, Huntsville, AL, 35810, US"
187,Baconator®,7.69,960,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
188,Son of Baconator®,5.99,630,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
189,Big Bacon Classic®,6.39,650,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
190,Big Bacon Classic® Double,7.39,910,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
191,Big Bacon Classic Triple,8.39,"1,220","2080 Sparkman Drive, Huntsville, AL, 35810, US"
192,Bacon Double Stack,3.69,440,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
193,Jr. Bacon Cheeseburger,3.19,370,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
194,Jr. Cheeseburger Deluxe,2.49,340,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
195,Jr. Cheeseburger,1.99,290,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
196,Double Stack™,3.19,410,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
197,Jr. Hamburger,1.59,250,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
198,French Fries,1.79-2.99,210-470,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
199,Baconator Fries,3.69,460,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
200,Chili Cheese Fries,3.69,520,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
201,Cheese Fries,2.69,470,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
202,Chili,2.99/3.99,240/340,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
203,Sour Cream and Chive Baked Potato,2.79,310,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
204,Plain Baked Potato,2.59,270,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
205,Bacon Cheese Baked Potato,4.19,440,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
206,Chili & Cheese Baked Potato,4.19,500,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
207,Cheese Baked Potato,3.69,450,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
208,Apple Bites,1.59,35,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
209,6 PC. Crispy Chicken Nuggets,2.49,270,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
210,4 PC. Crispy Chicken Nuggets,1.69,180,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
211,6 PC. Spicy Chicken Nuggets,2.49,280,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
