,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
711,Shake Shack,"5614 bay street suite 240, emeryville, ca, 94608, us",22.804285714285715,7.59,37.82495127261251,4.7,50,500+,9.59,,9.39,8.99,5.49,,ca,94608,Alameda,2024-05-14,1,1,1,0
712,Burger King,"5701 christie avenue, emeryville, ca, 94608, us",10.031684210526327,8.09,6.340015383117912,4.6,95,700+,10.89,18.59,5.09,6.49,5.49,,ca,94608,Alameda,2024-05-14,1,1,1,0
713,Five Guys,"3839 emery street #700, emeryville, ca, 94608, us",8.849310344827588,9.59,3.613364017695387,4.3,29,26,14.39,,11.51,10.19,7.55,,ca,94608,Alameda,2024-05-14,1,1,1,0
714,McDonald,"6815 valley way, rubidoux, ca, 92509, us",6.246521739130441,4.59,4.442583080083077,4.5,139,1,7.19,12.59,3.99,3.89,5.09,,ca,92509,Riverside,2024-05-14,1,1,1,0
715,Jack in the Box,"5642 30th street, rubidoux, ca, 92509, us",7.882255639097749,7.49,4.082723110229132,4.2,167,460+,5.61,,3.61,3.24,,,ca,92509,Riverside,2024-05-14,1,1,1,0
716,Wendy,"11053 riverside drive, jurupa valley, ca, 92509, us",6.675471698113208,4.99,3.896442773471062,,87,60,9.75,0.0,1.7,1.7,0.0,4.2,ca,92509,Riverside,2024-05-14,1,1,1,0
717,Burger King,"6835 valley way, riverside, ca, 92509, us",8.742558139534893,6.74,6.067936737196574,4.5,172,430+,10.39,15.29,3.39,5.79,4.99,,ca,92509,Riverside,2024-05-14,1,1,1,0
718,Carls Jr,"8919 limonite ave, riverside, ca, 92509, us",7.937499999999998,7.3,3.451530805866602,4.8,92,310+,9.55,0.0,6.45,,5.45,,ca,92509,Riverside,2024-05-14,1,1,1,0
719,McDonald,"715 central ave, alameda, ca, 94501, us",7.154885496183207,5.29,5.330051969214037,4.6,157,1,6.89,12.79,3.79,3.59,4.79,,ca,94501,Alameda,2024-05-14,1,1,1,0
720,Jack in the Box,"1257 park st, alameda, ca, 94501, us",8.73265017667843,7.86,4.211203680595502,4.5,283,900+,6.86,13.73,4.11,3.74,5.24,,ca,94501,Alameda,2024-05-14,1,1,1,0
721,Jack in the Box,"1826 webster st, alameda, ca, 94501, us",8.689999999999978,7.675000000000001,4.1439860566797515,4.4,274,1,6.86,13.73,4.11,3.74,5.24,,ca,94501,Alameda,2024-05-14,1,1,1,0
722,Carls Jr,"871 marina village pkwy, alameda, ca, 94501, us",8.092933333333336,6.6,4.2416816707003795,4.700000000000001,109,400+,9.89,0.0,6.39,,5.19,,ca,94501,Alameda,2024-05-14,1,1,1,0
723,The Habit,"2640 5th st, alameda, ca, 94501, us",11.772255319148915,8.99,10.92402079056445,4.4,235,1,9.74,18.24,8.61,7.49,4.74,,ca,94501,Alameda,2024-05-14,1,1,1,0
724,Five Guys,"2254 south shore center, alameda, ca, 94501, us",9.075714285714287,9.59,3.4434320800323506,4.7,28,2,14.39,,11.39,10.19,7.55,,ca,94501,Alameda,2024-05-14,1,1,1,0
725,McDonald,"718 w highland ave, san bernardino, ca, 92405, us",6.124722222222225,4.59,4.810252641846896,4.5,124,2,6.99,12.79,3.29,2.69,4.39,,ca,92405,San Bernardino,2024-05-14,1,1,1,0
726,Jack in the Box,"1141 w highland ave, san bernardino, ca, 92405, us",8.472861952861908,7.49,4.26061781902557,4.3,297,1,8.11,14.98,3.74,3.49,4.99,,ca,92405,San Bernardino,2024-05-14,1,1,1,0
727,Burger King,"487 west highland, san bernardino, ca, 92405, us",8.704980079681278,6.49,6.0996405337558555,4.4,251,800+,10.39,15.29,3.39,5.39,4.89,,ca,92405,San Bernardino,2024-05-14,1,1,1,0
728,McDonald,"7527 laguna blvd, elk grove, ca, 95758, us",8.669148936170233,5.19,10.3599305488897,4.6,158,500+,7.69,14.79,4.09,3.69,5.49,,ca,95758,Sacramento,2024-05-14,1,1,1,0
729,McDonald,"8282 laguna blvd, elk grove, ca, 95758, us",8.836764705882366,5.29,10.506487693350184,4.5,154,250+,7.69,14.79,4.09,3.69,5.49,,ca,95758,Sacramento,2024-05-14,1,1,1,0
730,Jack in the Box,"4820 laguna blvd, elk grove, ca, 95758, us",8.869125874125853,8.11,4.33882637021453,4.5,286,500+,7.49,14.6,4.11,3.74,4.99,,ca,95758,Sacramento,2024-05-14,1,1,1,0
731,Wendy,"9120 harbor point dr., elk grove, ca, 95758, us",7.311153846153843,5.734999999999999,4.463035209812228,,89,89,9.02,0.0,3.89,3.53,0.0,4.4,ca,95758,Sacramento,2024-05-14,1,1,1,0
732,Carls Jr,"8150 sheldon rd, elk grove, ca, 95758, us",11.228588235294122,10.95,5.478928867610181,4.6,91,140+,8.89,14.69,6.44,,5.02,,ca,95758,Sacramento,2024-05-14,1,1,1,0
733,The Habit,"7400 laguna blvd, elk grove, ca, 95758, us",11.13171052631578,8.36,10.192732497142769,4.3500000000000005,152,700+,9.24,16.86,8.36,7.24,4.11,,ca,95758,Sacramento,2024-05-14,1,1,1,0
734,Five Guys,"9257 laguna springs dr, elk grove, ca, 95758, us",9.908620689655173,10.07,3.7072675355659985,4.7,29,500+,15.47,,12.47,11.15,8.75,,ca,95758,Sacramento,2024-05-14,1,1,1,0
735,McDonald,"7632 sunrise blvd., citrus heights, ca, 95610, us",7.832112676056338,5.39,7.5485735832827165,4.4,162,600+,7.79,12.88,3.89,3.59,5.09,,ca,95610,Sacramento,2024-05-14,1,1,1,0
736,Jack in the Box,"7807 sunrise boulevard, citrus heights, ca, 95610, us",8.85046052631579,8.11,4.293627980540925,4.3,152,300+,7.49,14.6,4.11,3.74,4.99,,ca,95610,Sacramento,2024-05-14,1,1,1,0
737,Wendy,"7983 greenback lane, citrus hts., ca, 95610, us",7.311153846153843,5.734999999999999,4.463035209812228,,89,500+,9.02,0.0,3.89,3.53,0.0,4.3,ca,95610,Sacramento,2024-05-14,1,1,1,0
738,Burger King,"7760 sunrise blvd, citrus heights, ca, 95610, us",9.764545454545466,8.09,6.396903176376355,4.546022727272727,176,180+,10.19,17.89,4.39,5.79,5.49,,ca,95610,Sacramento,2024-05-14,1,1,1,0
