,menu_item,menu_item_price,menu_item_calories,restaurant_address
1342,8 Pc. Chicken Nuggets,2.99,390,"601 East Dyer Road, Santa Ana, CA, 92705, US"
1343,4 Pc. Chicken Nuggets,1.99,190,"601 East Dyer Road, Santa Ana, CA, 92705, US"
1344,MOTTS Applesauce,2.59,50,"601 East Dyer Road, Santa Ana, CA, 92705, US"
1345,Tacos,3.29,420,"601 East Dyer Road, Santa Ana, CA, 92705, US"
1346,Whopper,6.79,670,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1347,Impossible™ Whopper,7.79,630,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1348,Texas Double Whopper,9.29,"1,090","14601 Red Hill Avenue, Tustin, CA, 92780, US"
1349,Double Whopper,8.49,920,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1350,Triple Whopper ,9.39,"1,170","14601 Red Hill Avenue, Tustin, CA, 92780, US"
1351,Bacon King,8.79,"1,200","14601 Red Hill Avenue, Tustin, CA, 92780, US"
1352,BBQ Bacon Whopper Jr.,4.99,390,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1353,Whopper Jr.,3.99,330,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1354,Bacon Double Cheeseburger,4.99,440,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1355,Bacon Cheeseburger,3.79,340,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1356,Double Cheeseburger,3.99,400,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1357,Cheeseburger,2.99,290,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1358,Rodeo Burger,2.99,340,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1359,Hamburger,2.49,250,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1360,Have-sies™,3.99,380,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1361,French Fries,3.99,370,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1362,Onion Rings,3.99,360,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1363,12 Pc. Chicken Fries,6.99,340,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1364,8 Pc. Chicken Fries,4.99,220,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1365,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1366,4 Pc. Chicken Fries,3.99,110,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1367,16 Pc. Chicken Nuggets,5.49,770,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1368,8 Pc. Chicken Nuggets,2.99,390,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1369,4 Pc. Chicken Nuggets,1.49,190,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1370,MOTTS Applesauce,1.29,50,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1371,Tacos,2.99,420,"14601 Red Hill Avenue, Tustin, CA, 92780, US"
1372,Whopper,7.99,670,"1201 South, Anaheim, CA, 92805, US"
1373,Impossible™ Whopper,8.99,630,"1201 South, Anaheim, CA, 92805, US"
1374,Texas Double Whopper,10.99,"1,090","1201 South, Anaheim, CA, 92805, US"
1375,Double Whopper,8.99,920,"1201 South, Anaheim, CA, 92805, US"
1376,Triple Whopper ,11.99,"1,170","1201 South, Anaheim, CA, 92805, US"
1377,Bacon King,9.99,"1,200","1201 South, Anaheim, CA, 92805, US"
1378,Whopper Jr.,4.99,330,"1201 South, Anaheim, CA, 92805, US"
1379,Bacon Double Cheeseburger,4.59,440,"1201 South, Anaheim, CA, 92805, US"
1380,Bacon Cheeseburger,3.99,340,"1201 South, Anaheim, CA, 92805, US"
1381,Double Cheeseburger,3.99,400,"1201 South, Anaheim, CA, 92805, US"
1382,Cheeseburger,2.99,290,"1201 South, Anaheim, CA, 92805, US"
1383,Rodeo Burger,3.29,340,"1201 South, Anaheim, CA, 92805, US"
1384,Hamburger,2.69,250,"1201 South, Anaheim, CA, 92805, US"
1385,Have-sies™,3.99,380,"1201 South, Anaheim, CA, 92805, US"
1386,French Fries,3.99,370,"1201 South, Anaheim, CA, 92805, US"
1387,Onion Rings,3.99,360,"1201 South, Anaheim, CA, 92805, US"
1388,12 Pc. Chicken Fries,6.99,340,"1201 South, Anaheim, CA, 92805, US"
1389,8 Pc. Chicken Fries,5.99,220,"1201 South, Anaheim, CA, 92805, US"
1390,8 Pc. Fiery Buffalo Nuggets	,3.49,510,"1201 South, Anaheim, CA, 92805, US"
1391,4 Pc. Chicken Fries,2.49,110,"1201 South, Anaheim, CA, 92805, US"
1392,16 Pc. Chicken Nuggets,5.99,770,"1201 South, Anaheim, CA, 92805, US"
1393,8 Pc. Chicken Nuggets,2.99,390,"1201 South, Anaheim, CA, 92805, US"
1394,4 Pc. Chicken Nuggets,1.69,190,"1201 South, Anaheim, CA, 92805, US"
1395,MOTTS Applesauce,2.49,50,"1201 South, Anaheim, CA, 92805, US"
1396,Whopper,6.69,670,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1397,Impossible™ Whopper,7.69,630,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1398,Texas Double Whopper,9.59,"1,090","2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1399,Double Whopper,8.29,920,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1400,Triple Whopper ,9.19,"1,170","2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1401,Bacon King,9.19,"1,200","2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1402,BBQ Bacon Whopper Jr.,4.99,390,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1403,Whopper Jr.,4.39,330,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1404,Bacon Double Cheeseburger,4.99,440,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1405,Bacon Cheeseburger,3.79,340,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1406,Double Cheeseburger,3.99,400,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1407,Cheeseburger,2.99,290,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1408,Rodeo Burger,2.99,340,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1409,Hamburger,2.49,250,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1410,Have-sies™,3.99,380,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1411,French Fries,3.99,370,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1412,Onion Rings,3.99,360,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1413,12 Pc. Chicken Fries,6.99,340,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1414,8 Pc. Chicken Fries,4.99,220,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1415,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1416,4 Pc. Chicken Fries,3.99,110,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1417,16 Pc. Chicken Nuggets,5.49,770,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1418,8 Pc. Chicken Nuggets,2.99,390,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1419,4 Pc. Chicken Nuggets,1.49,190,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1420,MOTTS Applesauce,1.0,50,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1421,Tacos,2.99,420,"2210 E Lincoln Ave, Anaheim, CA, 92806, US"
1422,Whopper,7.99,670,"510 South Euclid Street, Anaheim, CA, 92802, US"
1423,Impossible™ Whopper,8.99,630,"510 South Euclid Street, Anaheim, CA, 92802, US"
1424,Texas Double Whopper,10.79,"1,090","510 South Euclid Street, Anaheim, CA, 92802, US"
1425,Double Whopper,8.99,920,"510 South Euclid Street, Anaheim, CA, 92802, US"
1426,Triple Whopper ,9.69,"1,170","510 South Euclid Street, Anaheim, CA, 92802, US"
1427,Bacon King,10.79,"1,200","510 South Euclid Street, Anaheim, CA, 92802, US"
1428,BBQ Bacon Whopper Jr.,7.09,390,"510 South Euclid Street, Anaheim, CA, 92802, US"
1429,Whopper Jr.,6.59,330,"510 South Euclid Street, Anaheim, CA, 92802, US"
1430,Bacon Double Cheeseburger,5.19,440,"510 South Euclid Street, Anaheim, CA, 92802, US"
1431,Bacon Cheeseburger,3.99,340,"510 South Euclid Street, Anaheim, CA, 92802, US"
1432,Double Cheeseburger,3.99,400,"510 South Euclid Street, Anaheim, CA, 92802, US"
1433,Cheeseburger,3.29,290,"510 South Euclid Street, Anaheim, CA, 92802, US"
1434,Rodeo Burger,3.69,340,"510 South Euclid Street, Anaheim, CA, 92802, US"
1435,Hamburger,2.79,250,"510 South Euclid Street, Anaheim, CA, 92802, US"
1436,Have-sies™,4.19,380,"510 South Euclid Street, Anaheim, CA, 92802, US"
1437,French Fries,4.09,370,"510 South Euclid Street, Anaheim, CA, 92802, US"
1438,Onion Rings,4.19,360,"510 South Euclid Street, Anaheim, CA, 92802, US"
1439,12 Pc. Chicken Fries,8.19,340,"510 South Euclid Street, Anaheim, CA, 92802, US"
1440,8 Pc. Chicken Fries,6.19,220,"510 South Euclid Street, Anaheim, CA, 92802, US"
1441,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"510 South Euclid Street, Anaheim, CA, 92802, US"
1442,4 Pc. Chicken Fries,3.19,110,"510 South Euclid Street, Anaheim, CA, 92802, US"
1443,16 Pc. Chicken Nuggets,7.69,770,"510 South Euclid Street, Anaheim, CA, 92802, US"
1444,8 Pc. Chicken Nuggets,2.99,390,"510 South Euclid Street, Anaheim, CA, 92802, US"
1445,4 Pc. Chicken Nuggets,1.79,190,"510 South Euclid Street, Anaheim, CA, 92802, US"
1446,MOTTS Applesauce,2.09,50,"510 South Euclid Street, Anaheim, CA, 92802, US"
1447,Tacos,3.39,420,"510 South Euclid Street, Anaheim, CA, 92802, US"
1448,Whopper,7.99,670,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1449,Impossible™ Whopper,8.49,630,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1450,Texas Double Whopper,10.29,"1,090","2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1451,Double Whopper,9.19,920,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1452,Triple Whopper ,10.19,"1,170","2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1453,Bacon King,9.29,"1,200","2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1454,BBQ Bacon Whopper Jr.,4.79,390,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1455,Whopper Jr.,4.49,330,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1456,Bacon Double Cheeseburger,4.39,440,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1457,Bacon Cheeseburger,3.19,340,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1458,Double Cheeseburger,3.49,400,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1459,Cheeseburger,2.59,290,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1460,Rodeo Burger,2.69,340,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1461,Hamburger,1.89,250,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1462,Have-sies™,3.79,380,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1463,French Fries,3.89,370,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1464,Onion Rings,3.89,360,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1465,12 Pc. Chicken Fries,5.39,340,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1466,8 Pc. Chicken Fries,4.99,220,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1467,8 Pc. Fiery Buffalo Nuggets	,3.49,510,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1468,4 Pc. Chicken Fries,2.19,110,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1469,16 Pc. Chicken Nuggets,4.98,770,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1470,8 Pc. Chicken Nuggets,2.99,390,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1471,4 Pc. Chicken Nuggets,1.49,190,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1472,MOTTS Applesauce,2.29,50,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1473,Tacos,3.49,420,"2403 East Chapman Avenue, Fullerton, CA, 92831, US"
1474,Whopper,7.99,670,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1475,Impossible™ Whopper,8.49,630,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1476,Texas Double Whopper,10.29,"1,090","2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1477,Double Whopper,9.19,920,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1478,Triple Whopper ,10.19,"1,170","2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1479,Bacon King,9.29,"1,200","2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1480,BBQ Bacon Whopper Jr.,4.79,390,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1481,Whopper Jr.,4.19,330,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1482,Bacon Double Cheeseburger,4.39,440,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1483,Bacon Cheeseburger,2.99,340,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1484,Double Cheeseburger,3.49,400,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1485,Cheeseburger,2.69,290,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1486,Rodeo Burger,2.69,340,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1487,Hamburger,1.89,250,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1488,Have-sies™,3.79,380,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1489,French Fries,3.79,370,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1490,Onion Rings,3.79,360,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1491,12 Pc. Chicken Fries,5.39,340,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1492,8 Pc. Chicken Fries,4.59,220,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1493,8 Pc. Fiery Buffalo Nuggets	,3.49,510,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1494,4 Pc. Chicken Fries,2.19,110,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1495,16 Pc. Chicken Nuggets,4.98,770,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1496,8 Pc. Chicken Nuggets,2.89,390,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1497,4 Pc. Chicken Nuggets,1.49,190,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1498,MOTTS Applesauce,2.29,50,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1499,Tacos,3.49,420,"2751 W. Orangethorpe Blvd, Fullerton, CA, 92833, US"
1500,Whopper,6.99,670,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1501,Texas Double Whopper,9.19,"1,090","5121 Foothills Boulevard, Roseville, CA, 95747, US"
1502,Double Whopper,8.29,920,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1503,Triple Whopper ,9.29,"1,170","5121 Foothills Boulevard, Roseville, CA, 95747, US"
1504,Bacon King,8.59,"1,200","5121 Foothills Boulevard, Roseville, CA, 95747, US"
1505,BBQ Bacon Whopper Jr.,3.89,390,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1506,Whopper Jr.,3.99,330,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1507,Bacon Double Cheeseburger,4.29,440,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1508,Bacon Cheeseburger,3.39,340,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1509,Double Cheeseburger,3.49,400,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1510,Cheeseburger,2.59,290,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1511,Rodeo Burger,2.59,340,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1512,Hamburger,2.19,250,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1513,Have-sies™,3.49,380,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1514,French Fries,3.79,370,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1515,Onion Rings,3.79,360,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1516,12 Pc. Chicken Fries,4.99,340,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1517,8 Pc. Chicken Fries,4.19,220,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1518,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1519,4 Pc. Chicken Fries,1.99,110,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1520,16 Pc. Chicken Nuggets,4.98,770,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1521,8 Pc. Chicken Nuggets,2.79,390,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1522,4 Pc. Chicken Nuggets,1.79,190,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1523,MOTTS Applesauce,1.69,50,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1524,Tacos,2.19,420,"5121 Foothills Boulevard, Roseville, CA, 95747, US"
1525,Whopper,7.59,670,"1300 East, Roseville, CA, 95661, US"
1526,Impossible™ Whopper,8.09,630,"1300 East, Roseville, CA, 95661, US"
1527,Texas Double Whopper,9.99,"1,090","1300 East, Roseville, CA, 95661, US"
1528,Double Whopper,8.59,920,"1300 East, Roseville, CA, 95661, US"
1529,Triple Whopper ,9.59,"1,170","1300 East, Roseville, CA, 95661, US"
1530,Bacon King,10.49,"1,200","1300 East, Roseville, CA, 95661, US"
1531,BBQ Bacon Whopper Jr.,5.89,390,"1300 East, Roseville, CA, 95661, US"
1532,Whopper Jr.,4.29,330,"1300 East, Roseville, CA, 95661, US"
1533,Bacon Double Cheeseburger,4.69,440,"1300 East, Roseville, CA, 95661, US"
1534,Bacon Cheeseburger,3.59,340,"1300 East, Roseville, CA, 95661, US"
1535,Double Cheeseburger,3.79,400,"1300 East, Roseville, CA, 95661, US"
1536,Cheeseburger,3.29,290,"1300 East, Roseville, CA, 95661, US"
1537,Rodeo Burger,3.29,340,"1300 East, Roseville, CA, 95661, US"
1538,Hamburger,2.99,250,"1300 East, Roseville, CA, 95661, US"
1539,Have-sies™,4.39,380,"1300 East, Roseville, CA, 95661, US"
1540,French Fries,4.09,370,"1300 East, Roseville, CA, 95661, US"
1541,Onion Rings,4.09,360,"1300 East, Roseville, CA, 95661, US"
1542,12 Pc. Chicken Fries,5.79,340,"1300 East, Roseville, CA, 95661, US"
1543,8 Pc. Chicken Fries,4.99,220,"1300 East, Roseville, CA, 95661, US"
1544,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"1300 East, Roseville, CA, 95661, US"
1545,4 Pc. Chicken Fries,4.09,110,"1300 East, Roseville, CA, 95661, US"
1546,16 Pc. Chicken Nuggets,5.99,770,"1300 East, Roseville, CA, 95661, US"
1547,8 Pc. Chicken Nuggets,2.99,390,"1300 East, Roseville, CA, 95661, US"
1548,4 Pc. Chicken Nuggets,1.99,190,"1300 East, Roseville, CA, 95661, US"
1549,MOTTS Applesauce,1.49,50,"1300 East, Roseville, CA, 95661, US"
1550,Tacos,1.99,420,"1300 East, Roseville, CA, 95661, US"
1551,Whopper,6.99,670,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1552,Impossible™ Whopper,7.99,630,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1553,Texas Double Whopper,9.19,"1,090","5869 Antelope Rd, Sacramento, CA, 95621, US"
1554,Double Whopper,8.29,920,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1555,Triple Whopper ,9.29,"1,170","5869 Antelope Rd, Sacramento, CA, 95621, US"
1556,Bacon King,8.59,"1,200","5869 Antelope Rd, Sacramento, CA, 95621, US"
1557,BBQ Bacon Whopper Jr.,3.89,390,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1558,Whopper Jr.,3.99,330,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1559,Bacon Double Cheeseburger,4.29,440,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1560,Bacon Cheeseburger,3.39,340,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1561,Double Cheeseburger,3.49,400,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1562,Cheeseburger,2.59,290,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1563,Rodeo Burger,2.59,340,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1564,Hamburger,2.19,250,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1565,Have-sies™,3.49,380,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1566,French Fries,3.79,370,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1567,Onion Rings,3.79,360,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1568,12 Pc. Chicken Fries,4.99,340,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1569,8 Pc. Chicken Fries,4.19,220,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1570,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1571,4 Pc. Chicken Fries,1.99,110,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1572,16 Pc. Chicken Nuggets,4.98,770,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1573,8 Pc. Chicken Nuggets,2.79,390,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1574,4 Pc. Chicken Nuggets,1.79,190,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1575,Tacos,2.19,420,"5869 Antelope Rd, Sacramento, CA, 95621, US"
1576,Whopper,7.59,670,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1577,Impossible™ Whopper,8.09,630,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1578,Texas Double Whopper,9.99,"1,090","7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1579,Double Whopper,8.59,920,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1580,Triple Whopper ,9.59,"1,170","7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1581,Bacon King,10.49,"1,200","7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1582,BBQ Bacon Whopper Jr.,5.89,390,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1583,Whopper Jr.,4.29,330,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1584,Bacon Double Cheeseburger,4.69,440,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1585,Bacon Cheeseburger,3.59,340,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1586,Double Cheeseburger,3.79,400,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1587,Cheeseburger,3.29,290,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1588,Rodeo Burger,3.29,340,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1589,Hamburger,2.99,250,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1590,Have-sies™,4.39,380,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1591,French Fries,4.09,370,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1592,Onion Rings,4.09,360,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1593,12 Pc. Chicken Fries,5.79,340,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1594,8 Pc. Chicken Fries,4.99,220,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1595,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1596,4 Pc. Chicken Fries,4.09,110,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1597,16 Pc. Chicken Nuggets,5.99,770,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1598,8 Pc. Chicken Nuggets,2.99,390,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1599,4 Pc. Chicken Nuggets,1.99,190,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1600,MOTTS Applesauce,1.49,50,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1601,Tacos,1.99,420,"7760 Sunrise Blvd, Citrus Heights, CA, 95610, US"
1602,Whopper,6.99,670,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1603,Texas Double Whopper,9.19,"1,090","4960 Auburn Blvd., Sacramento, CA, 95841, US"
1604,Double Whopper,8.29,920,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1605,Triple Whopper ,9.29,"1,170","4960 Auburn Blvd., Sacramento, CA, 95841, US"
1606,Bacon King,8.59,"1,200","4960 Auburn Blvd., Sacramento, CA, 95841, US"
1607,BBQ Bacon Whopper Jr.,3.89,390,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1608,Whopper Jr.,3.99,330,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1609,Bacon Double Cheeseburger,4.29,440,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1610,Bacon Cheeseburger,3.39,340,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1611,Double Cheeseburger,3.49,400,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1612,Cheeseburger,2.59,290,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1613,Rodeo Burger,2.59,340,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1614,Hamburger,2.19,250,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1615,Have-sies™,3.49,380,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1616,French Fries,3.79,370,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1617,Onion Rings,3.79,360,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1618,12 Pc. Chicken Fries,4.99,340,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1619,8 Pc. Chicken Fries,4.19,220,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1620,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1621,4 Pc. Chicken Fries,1.99,110,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1622,16 Pc. Chicken Nuggets,4.98,770,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1623,8 Pc. Chicken Nuggets,2.79,390,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1624,4 Pc. Chicken Nuggets,1.79,190,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1625,MOTTS Applesauce,1.69,50,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1626,Tacos,2.19,420,"4960 Auburn Blvd., Sacramento, CA, 95841, US"
1627,Whopper,6.99,670,"115, Lincoln, CA, 95648, US"
1628,Texas Double Whopper,9.19,"1,090","115, Lincoln, CA, 95648, US"
1629,Double Whopper,8.29,920,"115, Lincoln, CA, 95648, US"
1630,Triple Whopper ,9.29,"1,170","115, Lincoln, CA, 95648, US"
1631,Bacon King,8.59,"1,200","115, Lincoln, CA, 95648, US"
