,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
175,Buffalo Wild Wings,"13689 foothill boulevard, los angeles, ca, 91342, us",6.309677419354855,0.6,10.155263368790107,4.5,67,1,4.79,12.99,,,,ca,91342,Los Angeles,2024-05-14,1,1,0,0
176,Denny,"12861 encinitas ave., sylmar, ca, 91342, us",12.424190476190477,10.07,7.658310740123455,4.6,135,900+,5.81,19.54,,,,ca,91342,Los Angeles,2024-05-14,1,1,0,0
177,Buffalo Wild Wings,"14110 culver dr, irvine, ca, 92604, us",9.516938775510209,8.29,10.246060109708589,4.4,108,1,5.99,17.29,,,,ca,92604,Orange,2024-05-14,1,1,0,0
178,Buffalo Wild Wings,"142-c south brand blvd., glendale, ca, 91205, us",13.060281690140844,13.79,10.079244602232677,4.3,109,1,7.29,16.79,,,,ca,91205,Los Angeles,2024-05-14,1,1,0,0
179,Buffalo Wild Wings,"15301 ventura blvd., sherman oaks, ca, 91403, us",9.292200000000006,7.54,10.18785782978935,4.4,108,3,5.99,16.79,,,,ca,91403,Los Angeles,2024-05-14,1,1,0,0
180,Buffalo Wild Wings,"1620 saratoga ave, san jose, ca, 95129, us",9.041700000000006,7.640000000000001,10.077520236149372,4.1,108,1,5.99,16.49,,,,ca,95129,Santa Clara,2024-05-14,1,1,0,0
181,Applebee,"555 saratoga ave., san jose, ca, 95129, us",23.590877192982376,19.99,21.757855994471203,4.6,234,600+,,18.79,17.49,,,ca,95129,Santa Clara,2024-05-14,1,1,0,0
182,Denny,"910 saratoga ave, san jose, ca, 95129, us",12.526388888888887,10.434999999999999,7.522060205665354,4.4,138,600+,5.81,19.12,,,,ca,95129,Santa Clara,2024-05-14,1,1,0,0
183,Buffalo Wild Wings,"1699 w lacey blvd, hanford, ca, 93230, us",9.025555555555567,7.99,9.811785350386813,4.2,107,500+,5.99,15.99,,,,ca,93230,Kings,2024-05-14,1,1,0,0
184,Applebee,"1665 west lacey blvd, hanford, ca, 93230, us",21.119729729729716,16.99,21.38013136171224,4.5,112,500+,,17.29,15.99,,,ca,93230,Kings,2024-05-14,1,1,0,0
185,Denny,"1635 glendale ave., hanford, ca, 93230, us",11.871851851851853,10.125,7.164448900796642,4.2,138,280+,5.81,17.14,,,,ca,93230,Kings,2024-05-14,1,1,0,0
186,Buffalo Wild Wings,"1835 f. newport blvd. building f, costa mesa, ca, 92627, us",9.246767676767684,7.79,10.111854312285889,4.4,107,1,5.99,16.49,,,,ca,92627,Orange,2024-05-14,1,1,0,0
187,Buffalo Wild Wings,"19252 soledad canyon road, canyon country, ca, 91351, us",13.27736111111111,14.29,10.206215697779404,4.5,109,480+,7.79,17.29,,,,ca,91351,Los Angeles,2024-05-14,1,1,0,0
188,Denny,"18932 w. soledad canyon rd, canyon country, ca, 91351, us",12.019807692307692,9.79,7.368238488577593,4.7,134,800+,5.59,18.79,,,,ca,91351,Los Angeles,2024-05-14,1,1,0,0
189,Buffalo Wild Wings,"1988 n main st, salinas, ca, 93906, us",9.299600000000005,7.789999999999999,10.167227441146379,4.4,108,440+,5.99,17.29,,,,ca,93906,Monterey,2024-05-14,1,1,0,0
190,Denny,"2005 n main street, salinas, ca, 93906, us",11.853867924528307,10.175,7.425202566419813,4.3,136,500+,6.02,17.56,,,,ca,93906,Monterey,2024-05-14,1,1,0,0
191,Buffalo Wild Wings,"20 city boulevard east, orange, ca, 92868, us",8.508247422680423,7.29,7.9595228591271505,4.2,105,270+,7.29,16.79,,,,ca,92868,Orange,2024-05-14,1,1,0,0
