,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name_x,date,uber_eats,post_policy,fast_food,local,county_name_y
72,Burger King,"2807 panola road, lithonia, ga, 30035, us",3.843846153846153,2.99,2.0320945558766867,,26,,2.29,2.89,5.89,2.99,,ga,30035,DeKalb,2024-05-16,0,1,1,0,DeKalb
73,Burger King,"2820 bragg boulevard, fayetteville, nc, 28303, us",4.953157894736841,3.89,2.889341063648733,,57,,1.99,3.09,5.39,3.09,,nc,28303,Cumberland,2024-05-16,0,1,1,0,Cumberland
74,Burger King,"2862 n. martin luther king dr., milwaukee, wi, 53212, us",5.714074074074079,4.04,3.7428408296365636,,54,,2.29,3.29,6.89,3.99,,wi,53212,Milwaukee,2024-05-16,0,1,1,0,Milwaukee
75,Burger King,"2900 brownsville road, pittsburgh, pa, 15227, us",5.427884615384618,4.635,3.2735027913762242,,52,,2.09,2.99,5.59,3.19,,pa,15227,Allegheny,2024-05-16,0,1,1,0,Allegheny
76,Burger King,"2902 richey street, houston, tx, 77017, us",3.14857142857143,2.49,1.6393807940058036,,70,,1.89,2.59,5.49,2.69,,tx,77017,Harris,2024-05-16,0,1,1,0,Harris
77,Burger King,"2902 two notch road, columbia, sc, 29204, us",5.574800000000003,4.99,3.266551845601108,,50,,2.99,3.29,5.89,3.55,,sc,29204,Richland,2024-05-16,0,1,1,0,Richland
78,Burger King,"2910 airport boulevard, houston, tx, 77051, us",3.15376811594203,2.49,1.6260533722538715,,69,,1.89,2.49,5.49,2.59,,tx,77051,Harris,2024-05-16,0,1,1,0,Harris
79,Burger King,"4676 bellfort avenue, houston, tx, 77051, us",5.022692307692308,3.99,3.109583273703194,,52,,1.89,2.59,5.49,2.69,,tx,77051,Harris,2024-05-16,0,1,1,0,Harris
80,Burger King,"2915 saint stephens rd, mobile, al, 36612, us",3.8899999999999997,2.99,2.0132255022915153,,26,,2.29,2.79,5.49,3.19,,al,36612,Mobile,2024-05-16,0,1,1,0,Mobile
81,Burger King,"3004 airport boulevard, mobile, al, 36606, us",3.8630769230769224,2.99,1.9665584331531865,,26,,2.29,2.79,5.39,3.19,,al,36606,Mobile,2024-05-16,0,1,1,0,Mobile
82,Burger King,"3009 collingsworth st, houston, tx, 77026, us",4.986153846153848,3.99,3.078396281936271,,52,,1.89,2.49,5.49,2.59,,tx,77026,Harris,2024-05-16,0,1,1,0,Harris
83,Burger King,"309 ih 37, corpus christi, tx, 78401, us",4.968846153846155,3.99,3.0342491491979167,,52,,1.99,2.59,5.49,2.69,,tx,78401,Nueces,2024-05-16,0,1,1,0,Nueces
84,Burger King,"310 east trade street, charlotte, nc, 28202, us",4.917307692307693,3.99,3.007830879160784,,52,,1.99,2.7,6.29,2.9,,nc,28202,Mecklenburg,2024-05-16,0,1,1,0,Mecklenburg
