,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
292,Applebee,"899 east spring st, signal hill, ca, 90755, us",13.296666666666626,13.79,7.5852396348078726,4.4,212,65,,16.99,15.39,,,ca,90755,Los Angeles,2024-03-25,1,0,0,0
293,Applebee,"9000 ming ave, bakersfield, ca, 93311, us",13.355094339622644,13.79,7.632156925189801,4.2,107,33,,16.99,15.79,,,ca,93311,Kern,2024-03-25,1,0,0,0
294,Applebee,"9105 e stockton blvd, elk grove, ca, 95624, us",13.578297872340398,13.99,7.646565859468351,4.5,190,23,,16.69,15.39,,,ca,95624,Sacramento,2024-03-25,1,0,0,0
295,Applebee,"9255 winnetka ave, chatsworth, ca, 91311, us",13.421067961165045,14.49,7.580545221140115,4.7,104,34,,16.99,15.39,,,ca,91311,Los Angeles,2024-03-25,1,0,0,0
296,Applebee,"9480 east mira mesa blvd., san diego, ca, 92126, us",13.482233009708736,14.49,7.537565331734942,4.7,104,59,,16.99,15.39,,,ca,92126,San Diego,2024-03-25,1,0,0,0
297,Denny,"10 airport blvd, south san francisco, ca, 94080, us",12.807980769230767,11.94,8.557395741944246,4.1,536,45,6.22,17.14,,,,ca,94080,San Mateo,2024-03-25,1,0,0,0
298,Denny,"1001 east capitol, san jose, ca, 95121, us",11.529428571428568,9.55,7.2097087753840885,4.7,135,50,5.91,16.73,,,,ca,95121,Santa Clara,2024-03-25,1,0,0,0
299,Denny,"108 e orangethorpe ave, placentia, ca, 92870, us",11.458217821782169,9.86,7.08790999596986,4.8,262,36,5.81,17.04,,,,ca,92870,Orange,2024-03-25,1,0,0,0
300,Denny,"110 mchenry st., modesto, ca, 95354, us",11.902812500000005,10.07,7.251663990527305,0.0,126,6,5.91,17.46,,,,ca,95354,Stanislaus,2024-03-25,1,0,0,0
301,Denny,"1110 e shaw ave, fresno, ca, 93710, us",10.827142857142858,7.39,6.65963329668072,3.8,135,25,5.59,15.79,,,,ca,93710,Fresno,2024-03-25,1,0,0,0
302,Denny,"11195 long beach blvd, lynwood, ca, 90262, us",11.485384615384614,10.175,7.136961878283435,4.4,134,133,5.81,16.73,,,,ca,90262,Los Angeles,2024-03-25,1,0,0,0
303,Denny,"1121 n parkway dr, fresno, ca, 93728, us",10.827142857142858,7.39,6.65963329668072,4.3,135,20,5.59,15.79,,,,ca,93728,Fresno,2024-03-25,1,0,0,0
304,Denny,"11344 san pablo ave, el cerrito, ca, 94530, us",12.082403846153827,11.42,8.229773748548187,3.9000000000000004,268,21,6.12,16.83,,,,ca,94530,Contra Costa,2024-03-25,1,0,0,0
305,Denny,"1168 w katella ave, anaheim, ca, 92802, us",11.075714285714286,8.79,6.908424316051544,4.7,127,32,5.59,16.39,,,,ca,92802,Orange,2024-03-25,1,0,0,0
306,Denny,"1610 south harbor blvd., anaheim, ca, 92802, us",11.532873563218391,9.55,7.1644927322491245,4.6,234,28,5.81,16.21,,,,ca,92802,Orange,2024-03-25,1,0,0,0
307,Denny,"210 s euclid st, anaheim, ca, 92802, us",11.547254901960786,9.135,7.184581961021312,4.9,132,18,5.81,17.25,,,,ca,92802,Orange,2024-03-25,1,0,0,0
308,Denny,"1190 s. mt. vernon, colton, ca, 92324, us",11.613711340206176,8.41,7.185232323699876,4.3,254,24,5.81,17.56,,,,ca,92324,San Bernardino,2024-03-25,1,0,0,0
309,Denny,"160 west valley blvd., colton, ca, 92324, us",11.659263157894717,8.41,7.243737366581634,4.2,496,12,5.81,17.56,,,,ca,92324,San Bernardino,2024-03-25,1,0,0,0
310,Denny,"122 sunrise ave., roseville, ca, 95661, us",11.802980769230762,9.81,7.249521718946452,3.4,268,16,5.91,17.46,,,,ca,95661,Placer,2024-03-25,1,0,0,0
311,Denny,"130 calle primera, san diego, ca, 92173, us",11.921538461538463,9.760000000000002,7.282130627727708,4.7,134,31,6.02,17.25,,,,ca,92173,San Diego,2024-03-25,1,0,0,0
312,Denny,"1310 24th st., paso robles, ca, 93446, us",11.554999999999998,9.135,7.1903949019614934,4.0,134,14,5.81,17.25,,,,ca,93446,San Luis Obispo,2024-03-25,1,0,0,0
313,Denny,"13165 main st, hesperia, ca, 92344, us",11.455588235294117,9.81,6.915908142702082,3.3,132,12,5.81,16.42,,,,ca,92344,San Bernardino,2024-03-25,1,0,0,0
314,Denny,"1360 holiday lane, fairfield, ca, 94534, us",12.752019230769235,11.94,8.581879767614085,4.4,133,30,6.22,17.56,,,,ca,94534,Solano,2024-03-25,1,0,0,0
315,Denny,"304 pittman rd, cordelia, ca, 94534, us",11.81329787234042,10.07,7.182370169498201,4.4,248,11,5.81,17.35,,,,ca,94534,Solano,2024-03-25,1,0,0,0
316,Denny,"1375 s harbor blvd, fullerton, ca, 92832, us",10.919126213592238,7.89,6.7772124044006015,4.3,133,20,5.39,16.49,,,,ca,92832,Orange,2024-03-25,1,0,0,0
317,Denny,"1377 w foothill blvd, rialto, ca, 92376",11.259619047619047,7.68,6.919499420899438,4.5,135,34,5.81,16.42,,,,ca,92376,San Bernardino,2024-03-25,1,0,0,0
318,Denny,"1390 south first st., san jose, ca, 95112, us",11.571237623762364,10.175,7.234460913289335,4.3,262,83,5.91,16.73,,,,ca,95112,Santa Clara,2024-03-25,1,0,0,0
319,Denny,"14240 highway 395, adelanto, ca, 92301, us",11.466407766990296,8.41,7.102416497613382,4.3,133,24,5.81,17.25,,,,ca,92301,San Bernardino,2024-03-25,1,0,0,0
320,Denny,"14244 valley center dr, victorville, ca, 92395, us",11.327019230769231,8.615,6.9182988793666285,4.3,134,18,5.81,16.42,,,,ca,92395,San Bernardino,2024-03-25,1,0,0,0
