,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,fries,cheeseburger,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
108,Wendy,"2815 dekalb pike, norristown, pa, 19401, us",4.734333333333334,3.565,2.623049984697627,,30,,6.59,2.74,2.29,1.89,,pa,19401,Montgomery,2024-05-14,0,1,1,0
109,Wendy,"2815 ne green oaks blvd, grand prairie, tx, 75050, us",4.461874999999998,3.59,2.6269319527492527,,32,,5.89,2.49,2.19,1.79,,tx,75050,Dallas,2024-05-14,0,1,1,0
110,Wendy,"2825 west nolana avenue, suite 10, mcallen, tx, 78504, us",3.8641935483870964,2.99,2.1703229642130766,,31,,5.79,2.09,1.89,1.59,,tx,78504,Hidalgo,2024-05-14,0,1,1,0
111,Wendy,"30 henrydale avenue, greenville, sc, 29605, us",4.134999999999999,3.34,2.1516021162535295,,30,,5.69,2.44,1.89,1.39,,sc,29605,Greenville,2024-05-14,0,1,1,0
112,Wendy,"3000 owen drive, fayetteville, nc, 28306, us",4.3603125,3.49,2.5404496210993335,,32,,5.19,2.54,1.99,1.79,,nc,28306,Cumberland,2024-05-14,0,1,1,0
113,Wendy,"301 w. southmore ave, pasadena, tx, 77502, us",4.5103125,3.69,2.1938073131758293,,32,,5.69,2.54,2.49,2.19,,tx,77502,Harris,2024-05-14,0,1,1,0
114,Wendy,"3015 panola road, lithonia, ga, 30038, us",4.719032258064516,3.69,2.550293284637885,,31,,5.69,2.59,2.39,1.99,,ga,30038,DeKalb,2024-05-14,0,1,1,0
115,Wendy,"30500 state hwy 181, spanish fort, al, 36527, us",4.313333333333333,3.59,2.1928190886517647,,30,,5.39,2.29,2.39,2.19,,al,36527,Baldwin,2024-05-14,0,1,1,0
116,Wendy,"3104 s. broad st., chattanooga, tn, 37408, us",4.450967741935484,3.6,2.4527776944342627,,31,,5.99,2.6399999999999997,1.59,1.39,,tn,37408,Hamilton,2024-05-14,0,1,1,0
117,Wendy,"3107 shannon road, durham, nc, 27707, us",5.049677419354839,3.99,2.997806169755743,,31,,5.39,2.84,2.59,2.19,,nc,27707,Durham,2024-05-14,0,1,1,0
118,Wendy,"3111 e. 14th street, oakland, ca, 94601, us",4.766666666666665,3.89,2.1695903351144943,,30,,7.19,3.39,2.49,1.79,,ca,94601,Alameda,2024-05-14,0,1,1,0
119,Wendy,"3113 airport blvd., mobile, al, 36606, us",4.313333333333333,3.59,2.1928190886517647,,30,,5.39,2.29,2.39,2.19,,al,36606,Mobile,2024-05-14,0,1,1,0
120,Wendy,"3144 ambassador caffrey, lafayette, la, 70506, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70506,Lafayette,2024-05-14,0,1,1,0
121,Wendy,"315 washington street, memphis, tn, 38103, us",5.048333333333333,3.89,3.0514500196172674,,30,,5.39,2.54,2.69,2.29,,tn,38103,Shelby,2024-05-14,0,1,1,0
