,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
166,McDonald,"1459 main st, watsonville, ca, 95076, us",7.519051094890517,4.69,6.788124331970831,4.7,163,210+,8.22,14.79,3.73,3.38,4.99,ca,95076,Santa Cruz,2024-05-14,1,1,1,0
167,Jack in the Box,"1085 s green valley rd, watsonville, ca, 95076, us",8.54539473684211,7.615,4.163852100863701,4.5,152,350+,7.24,13.85,4.11,3.99,4.99,ca,95076,Santa Cruz,2024-05-14,1,1,1,0
168,Wendy,"1480 freedom blvd, watsonville, ca, 95076, us",5.535999999999998,4.39,2.642060559487613,4.4,166,190+,7.59,0.0,3.09,2.79,0.0,ca,95076,Santa Cruz,2024-05-14,1,1,1,0
169,McDonald,"146 s fairview blvd, santa barbara, ca, 93117, us",6.276793893129777,5.14,4.500593899261471,4.7,152,600+,7.18,13.42,4.19,3.99,5.02,ca,93117,Santa Barbara,2024-05-14,1,1,1,0
170,McDonald,"6900 marketplace drive, goleta, ca, 93117, us",6.324409448818904,5.14,4.58078211757879,4.7,148,1,7.18,13.42,4.19,3.99,5.02,ca,93117,Santa Barbara,2024-05-14,1,1,1,0
171,Jack in the Box,"6875 hollister avenue, goleta, ca, 93117, us",8.415906040268457,7.49,4.011415090055952,4.5,149,1,6.86,12.98,4.11,3.74,4.99,ca,93117,Santa Barbara,2024-05-14,1,1,1,0
172,Wendy,"5724 holli, goleta, ca, 93117, us",5.385999999999999,4.6899999999999995,2.520472971487693,4.7,85,600+,6.79,0.0,2.99,2.69,0.0,ca,93117,Santa Barbara,2024-05-14,1,1,1,0
173,McDonald,"1500 s harbor blvd, anaheim, ca, 92802, us",7.565789473684217,5.69,5.241870212443242,4.5,122,2,7.29,15.59,3.59,3.09,5.99,ca,92802,Orange,2024-05-14,1,1,1,0
174,Jack in the Box,"2210 s harbor blvd, anaheim, ca, 92802, us",7.623046357615895,6.74,3.6573605351323626,4.7,151,370+,5.74,11.48,3.61,3.24,4.11,ca,92802,Orange,2024-05-14,1,1,1,0
175,Burger King,"510 south euclid street, anaheim, ca, 92802, us",10.729146341463425,8.04,10.343234881208708,4.8,82,290+,9.99,15.49,4.99,7.79,4.99,ca,92802,Orange,2024-05-14,1,1,1,0
176,McDonald,"1515 euclid ave, san diego, ca, 92105, us",6.857760000000001,5.99,4.97800664748452,4.4,141,2,8.89,14.39,4.39,2.99,5.99,ca,92105,San Diego,2024-05-14,1,1,1,0
177,McDonald,"1526 w edinger ave, santa ana, ca, 92704, us",6.609841269841263,4.49,4.721716459510367,4.5,149,3,6.99,13.29,3.39,3.19,4.89,ca,92704,Orange,2024-05-14,1,1,1,0
178,Jack in the Box,"1300 w edinger ave, santa ana, ca, 92704, us",8.393464052287579,7.49,3.9769236838629247,4.4,153,1,6.99,13.23,4.11,3.74,4.99,ca,92704,Orange,2024-05-14,1,1,1,0
179,McDonald,"155 kern st, salinas, ca, 93905, us",5.955681818181817,4.199999999999999,4.712235716113411,4.4,151,260+,6.89,10.95,3.78,3.23,4.99,ca,93905,Monterey,2024-05-14,1,1,1,0
180,McDonald,"608 williams rd, salinas, ca, 93905, us",5.983308270676696,4.29,4.724369349137981,4.5,151,480+,6.89,11.22,4.05,3.64,4.99,ca,93905,Monterey,2024-05-14,1,1,1,0
181,McDonald,"840 e alisal st, salinas, ca, 93905, us",6.010378787878787,4.43,4.685684420965989,4.6,151,230+,6.89,10.79,3.87,3.32,4.89,ca,93905,Monterey,2024-05-14,1,1,1,0
182,Jack in the Box,"1225 de la torre street, salinas, ca, 93905, us",8.54539473684211,7.615,4.163852100863701,4.6,152,100+,7.24,13.85,4.11,3.99,4.99,ca,93905,Monterey,2024-05-14,1,1,1,0
183,Jack in the Box,"1540 n sanborn rd., salinas, ca, 93905, us",8.538815789473691,7.615,4.156826334668408,4.5,152,430+,7.24,13.85,4.11,3.99,4.99,ca,93905,Monterey,2024-05-14,1,1,1,0
184,McDonald,"1550 grand ave, grover beach, ca, 93433, us",6.163533834586467,4.89,4.699286811269293,4.6,300,460+,7.19,13.09,3.99,3.69,4.99,ca,93433,San Luis Obispo,2024-05-14,1,1,1,0
185,McDonald,"1620 strobridge ave, castro valley, ca, 94546, us",5.645937500000007,3.89,4.248404192587348,4.2,149,1,6.69,10.79,3.49,3.19,4.49,ca,94546,Alameda,2024-05-14,1,1,1,0
186,McDonald,"2905 grove way, castro valley, ca, 94546, us",7.253779527559056,5.29,5.384370342285897,4.5,153,900+,6.89,12.79,3.79,3.59,4.79,ca,94546,Alameda,2024-05-14,1,1,1,0
187,Jack in the Box,"3035, castro valley, ca, 94546, us",8.328552631578951,7.550000000000001,3.989588985540451,4.6,152,600+,6.49,12.6,3.74,3.61,4.99,ca,94546,Alameda,2024-05-14,1,1,1,0
188,Wendy,"2475, castro valley, ca, 94546, us",5.919800000000001,4.805,3.087545620715586,4.6,83,800+,7.92,0.0,3.04,2.67,0.0,ca,94546,Alameda,2024-05-14,1,1,1,0
189,Burger King,"2757, castro valley, ca, 94546, us",9.473625000000002,8.59,6.289473396825444,4.5,80,380+,10.2,17.03,4.93,6.91,4.39,ca,94546,Alameda,2024-05-14,1,1,1,0
190,McDonald,"1625 wilshire blvd, los angeles, ca, 90017, us",6.629047619047623,4.6,4.687636123495921,4.5,152,9,7.99,12.74,3.49,3.36,4.99,ca,90017,Los Angeles,2024-05-14,1,1,1,0
191,Wendy,"800 south figueroa street, los angeles, ca, 90017, us",7.03423076923077,5.84,3.389454429751337,4.5,87,2,9.14,0.0,4.14,3.65,0.0,ca,90017,Los Angeles,2024-05-14,1,1,1,0
192,Burger King,"1501 west 6th street, los angeles, ca, 90017, us",10.734430379746845,7.79,10.480509547332865,4.5,79,1,9.99,15.49,4.99,7.79,4.99,ca,90017,Los Angeles,2024-05-14,1,1,1,0
193,The Habit,"888 s hope st, los angeles, ca, 90017, us",11.690641025641034,8.74,10.831685279740299,4.5,78,3,9.74,18.24,8.61,7.49,4.74,ca,90017,Los Angeles,2024-05-14,1,1,1,0
194,McDonald,"1630 highland ave, national city, ca, 91950, us",7.1700787401574955,5.99,5.344624423663507,4.5,290,1,8.89,14.29,4.39,3.29,5.89,ca,91950,San Diego,2024-05-14,1,1,1,0
195,McDonald,"2140 plaza blvd., national city, ca, 91950, us",6.971056910569105,5.99,5.066942570527257,4.6,141,2,8.89,14.29,4.39,3.29,5.89,ca,91950,San Diego,2024-05-14,1,1,1,0
196,McDonald,"3400 highland ave, chula vista, ca, 91950, us",7.076377952755902,5.99,5.267906944288895,4.5,143,500+,8.89,13.89,4.39,2.89,5.79,ca,91950,San Diego,2024-05-14,1,1,1,0
197,Jack in the Box,"1745 highland ave, national city, ca, 91950, us",7.569281045751636,6.86,3.6907372316611946,4.5,153,800+,5.61,11.1,3.24,2.86,4.49,ca,91950,San Diego,2024-05-14,1,1,1,0
198,Jack in the Box,"700 roosevelt ave, national city, ca, 91950, us",8.415199999999958,7.49,4.239781868602834,4.4,300,450+,7.86,14.98,3.61,3.49,4.74,ca,91950,San Diego,2024-05-14,1,1,1,0
199,Shake Shack,"3030 plaza bonita road suite f3, national city, ca, 91950, us",21.572692307692307,8.19,35.44355600080567,4.5,106,350+,9.39,,8.99,8.79,5.49,ca,91950,San Diego,2024-05-14,1,1,1,0
200,Burger King,"815 highland avenue, national city, ca, 91950, us",8.788987341772163,6.49,6.322864996133751,4.4,158,500+,10.39,16.39,3.89,5.99,5.39,ca,91950,San Diego,2024-05-14,1,1,1,0
201,McDonald,"1690 contra costa blvd, pleasant hill, ca, 94523, us",7.25220472440945,5.29,5.385134527506975,4.5,153,700+,6.89,12.79,3.79,3.59,4.79,ca,94523,Contra Costa,2024-05-14,1,1,1,0
202,Jack in the Box,"1817 contra costa blvd, pleasant hill, ca, 94523, us",8.982483660130715,8.11,4.323258315077105,4.3,153,270+,7.74,14.85,4.24,3.86,4.99,ca,94523,Contra Costa,2024-05-14,1,1,1,0
