,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
156,Wendy,"1737 e 17th st, santa ana, ca, 92705, us",6.69618181818182,5.48,3.2831977155921352,4.6,95,66,8.41,0.0,3.65,3.65,0.0,ca,92705,Orange,2024-04-05,1,0,1,0
157,Wendy,"175 n ventura road, port hueneme, ca, 93041, us",6.377346938775509,5.72,3.0609907529813882,4.4,84,18,7.8,0.0,3.53,3.16,0.0,ca,93041,Ventura,2024-04-05,1,0,1,0
158,Wendy,"176 gateway blvd, s.san francisco, ca, 94080, us",6.473000000000001,5.355,3.0104612603386873,4.6,84,54,9.26,0.0,3.89,3.16,0.0,ca,94080,San Mateo,2024-04-05,1,0,1,0
159,Five Guys,"2278 westborough blvd., south san francisco, ca, 94080, us",9.075714285714287,9.59,3.4434320800323492,4.7,84,100+,14.39,,11.39,10.19,7.55,ca,94080,San Mateo,2024-04-05,1,0,1,0
160,Wendy,"2120 n preisker lane, santa maria, ca, 93458, us",6.349122807017544,5.23,3.142183440601793,0.0,98,6,7.92,0.0,3.65,2.79,0.0,ca,93458,Santa Barbara,2024-04-05,1,0,1,0
161,Wendy,"2275 mc kee road, san jose, ca, 95133, us",7.4110000000000005,5.48,3.8620167011549813,4.7,84,60,10.36,0.0,4.26,2.92,0.0,ca,95133,Santa Clara,2024-04-05,1,0,1,0
162,Wendy,"2360 arena blvd, sacramento, ca, 95834, us",7.063859649122806,5.6,3.7180657838833464,4.1,98,35,8.97,0.0,3.97,3.6,0.0,ca,95834,Sacramento,2024-04-05,1,0,1,0
163,Wendy,"23750 main street, carson, ca, 90745, us",7.6867272727272695,6.33,3.523517898374478,4.6,96,118,8.89,0.0,4.01,3.65,0.0,ca,90745,Los Angeles,2024-04-05,1,0,1,0
164,Wendy,"23969 mission blvd., hayward, ca, 94544, us",6.098928571428568,5.17,3.19717826403859,4.6,94,99,7.92,0.0,3.04,2.67,0.0,ca,94544,Alameda,2024-04-05,1,0,1,0
165,Sonic,"31187 mission boulevard, hayward, ca, 94544, us",4.503939393939396,3.8,2.258131353231721,4.2,648,52,8.79,0.0,3.8,,0.0,ca,94544,Alameda,2024-04-05,1,0,1,0
166,Wendy,"2439 march ln., stockton, ca, 95207, us",6.932800000000001,5.54,3.4546866949117105,4.3,86,20,9.14,0.0,3.65,3.16,0.0,ca,95207,San Joaquin,2024-04-05,1,0,1,0
167,Five Guys,"5633 pacific ave, stockton, ca, 95207, us",9.908620689655173,10.07,3.707267535565999,4.6,29,16,15.47,,12.47,11.15,8.75,ca,95207,San Joaquin,2024-04-05,1,0,1,0
168,Wendy,"3565 central ave, riverside, ca, 92506, us",6.535370370370369,5.355,3.1046254100776567,4.4,93,47,7.92,0.0,3.65,2.79,0.0,ca,92506,Riverside,2024-04-05,1,0,1,0
169,The Habit,"3555, riverside, ca, 92506, us",11.367974683544311,8.74,10.61066139025271,4.0,79,22,9.61,17.98,8.49,7.36,4.61,ca,92506,Riverside,2024-04-05,1,0,1,0
170,Wendy,"39175 blacow road, fremont, ca, 94538, us",6.128181818181814,5.23,3.1308901382596037,4.8,93,60,7.92,0.0,3.04,2.67,0.0,ca,94538,Alameda,2024-04-05,1,0,1,0
171,Burger King,"3996 washington boulevard, fremont, ca, 94538, us",10.168536585365855,8.725,5.948236287471133,4.2,82,27,10.2,17.03,4.93,6.91,4.39,ca,94538,Alameda,2024-04-05,1,0,1,0
172,The Habit,"43830 pacific commons blvd, fremont, ca, 94538, us",11.563417721518995,8.74,10.822362675903996,4.6,79,18,9.74,18.24,8.61,7.49,4.74,ca,94538,Alameda,2024-04-05,1,0,1,0
173,Five Guys,"43518 christy street, fremont, ca, 94538, us",8.715714285714286,9.11,3.303326709082645,4.8,28,45,13.79,,10.31,9.83,7.19,ca,94538,Alameda,2024-04-05,1,0,1,0
174,Wendy,"40460, murrieta, ca, 92563, us",6.863333333333334,5.97,3.1416202472255885,4.4,93,28,8.28,0.0,3.65,3.28,0.0,ca,92563,Riverside,2024-04-05,1,0,1,0
175,Sonic,"39490, murrieta, ca, 92563, us",5.710322580645162,4.87,2.592527081851851,4.3,80,35,10.36,0.0,4.87,,0.0,ca,92563,Riverside,2024-04-05,1,0,1,0
176,Wendy,"499 el camino real, san bruno, ca, 94066, us",6.7059999999999995,5.48,2.933779132791015,4.9,168,70,8.53,0.0,4.14,3.65,0.0,ca,94066,San Mateo,2024-04-05,1,0,1,0
177,Wendy,"500 e washington st, petaluma, ca, 94952, us",6.044642857142853,5.050000000000001,3.1640576143197356,4.6,94,23,7.92,0.0,3.04,2.67,0.0,ca,94952,Marin,2024-04-05,1,0,1,0
178,Five Guys,"401 kenilworth drive, petaluma, ca, 94952, us",9.249199999999997,9.47,2.890516798083,4.7,50,23,13.67,,10.07,9.47,7.19,ca,94952,Marin,2024-04-05,1,0,1,0
179,Wendy,"5211 broadway, oakland, ca, 94618, us",6.0989285714285675,5.17,3.19717826403859,4.5,94,100+,7.92,0.0,3.04,2.67,0.0,ca,94618,Alameda,2024-04-05,1,0,1,0
180,Wendy,"5724 holli, goleta, ca, 93117, us",6.893636363636365,5.97,3.1208835366906555,4.7,95,41,8.28,0.0,3.65,3.28,0.0,ca,93117,Santa Barbara,2024-04-05,1,0,1,0
181,Wendy,"5943, pacheco, ca, 94553, us",6.745714285714285,5.6,3.143074667796956,4.5,83,41,9.02,0.0,3.77,3.4,0.0,ca,94553,Contra Costa,2024-04-05,1,0,1,0
182,Wendy,"680 n. euclid ave., anaheim, ca, 92801, us",7.324599999999997,6.33,3.3767648481942,4.5,85,72,8.89,0.0,4.01,3.65,0.0,ca,92801,Orange,2024-04-05,1,0,1,0
183,Sonic,"1632 lemon st, anaheim, ca, 92801, us",5.231714285714287,4.87,2.212445945379116,4.2,84,69,9.38,0.0,4.87,,0.0,ca,92801,Orange,2024-04-05,1,0,1,0
184,Wendy,"698 ralston avenue, belmont, ca, 94002, us",6.407399999999998,5.6,3.0760739978095453,4.4,83,54,9.26,0.0,3.16,2.67,0.0,ca,94002,San Mateo,2024-04-05,1,0,1,0
185,Wendy,"800 south figueroa street, los angeles, ca, 90017, us",7.135192307692308,6.085,3.390654288110083,4.4,88,200+,9.14,0.0,4.14,3.65,0.0,ca,90017,Los Angeles,2024-04-05,1,0,1,0
186,The Habit,"888 s hope st, los angeles, ca, 90017, us",11.563417721518995,8.74,10.822362675903994,4.7,79,131,9.74,18.24,8.61,7.49,4.74,ca,90017,Los Angeles,2024-04-05,1,0,1,0
187,Five Guys,"735 s. figueroa st., #120, los angeles, ca, 90017, us",9.908620689655171,10.07,3.707267535565998,4.6,29,133,15.47,,12.47,11.15,8.75,ca,90017,Los Angeles,2024-04-05,1,0,1,0
188,Shake Shack,"120 promenade way, thousand oaks, ca, 91362, us",8.434444444444445,7.89,2.8553696437535256,4.6,46,224,9.59,,9.39,8.99,5.79,ca,91362,Ventura,2024-04-05,1,0,1,0
189,Shake Shack,"12456 north mainstreet, rancho cucamonga, ca, 91739, us",7.855909090909098,7.59,2.834603001048598,4.6,180,50+,8.99,,8.79,8.39,5.49,ca,91739,San Bernardino,2024-04-05,1,0,1,0
190,Shake Shack,"1401, larkspur, ca, 94939, us",8.385555555555554,7.89,2.77408287591938,4.6,92,87,9.59,,9.39,8.99,5.79,ca,94939,Marin,2024-04-05,1,0,1,0
191,Shake Shack,"1604 mount diablo boulevard, walnut creek, ca, 94596, us",8.403953488372096,7.89,2.8283104822284244,4.4,44,79,9.59,,9.39,8.99,5.79,ca,94596,Contra Costa,2024-04-05,1,0,1,0
192,Shake Shack,"1954 telegraph avenue, oakland, ca, 94612, us",8.181111111111113,7.59,2.844552081296785,4.6,46,100+,9.59,,9.39,8.99,5.49,ca,94612,Alameda,2024-04-05,1,0,1,0
