menu_item,menu_item_price,menu_item_calories,restaurant_address
Double Western Bacon Cheeseburger®,7.79,1020,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Angus Western Bacon Cheeseburger®,8.49,1020,"5722 S 49TH WEST AVE TULSA, OK 74107"
Single Big Carl®,5.99,670,"5722 S 49TH WEST AVE TULSA, OK 74107"
Double Big Carl®,7.49,920,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Angus Big Carl®,7.99,770,"5722 S 49TH WEST AVE TULSA, OK 74107"
Single Guacamole Bacon Burger,6.49,870,"5722 S 49TH WEST AVE TULSA, OK 74107"
Double Guacamole Bacon Burger,7.79,1130,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Angus Guacamole Bacon Burger,8.49,960,"5722 S 49TH WEST AVE TULSA, OK 74107"
Single El Diablo ,6.99,950,"5722 S 49TH WEST AVE TULSA, OK 74107"
Double El Diablo ,8.49,1210,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Angus El Diablo ,8.99,1050,"5722 S 49TH WEST AVE TULSA, OK 74107"
California Classic Double Cheeseburger,4.09,560,"5722 S 49TH WEST AVE TULSA, OK 74107"
Big Cheeseburger,4.19,540,"5722 S 49TH WEST AVE TULSA, OK 74107"
