,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,combo,fries,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
25,Hardees,"1807 four seasons blvd, hendersonville, nc, 28792, us",7.424565217391306,6.64,5.430476681183443,0.0,74,2,4.83,7.61,0.0,2.77,,nc,28792,Henderson,2024-03-28,1,0,1,0
26,Hardees,"1851 memorial blvd, murfreesboro, tn, 37129, us",6.779795918367347,6.06,5.292074354991515,4.2,79,22,5.07,7.13,0.0,2.77,,tn,37129,Rutherford,2024-03-28,1,0,1,0
27,Hardees,"1910 s lake dr, lexington, sc, 29073-8282, us",7.138260869565216,5.92,5.650962713035804,0.0,77,2,4.83,6.04,0.0,2.77,,sc,29073,Lexington,2024-03-28,1,0,1,0
28,Hardees,"1970 s. 17th street, wilmington, nc, 28401, us",8.448214285714293,7.49,5.580299138746161,3.7,90,11,5.36,6.61,10.99,2.99,,nc,28401,New Hanover,2024-03-28,1,0,1,0
29,Hardees,"2005 whitten road, memphis, tn, 38133, us",9.648823529411763,8.29,5.8341095216009276,4.2,69,17,5.89,7.79,12.29,2.99,,tn,38133,Shelby,2024-03-28,1,0,1,0
30,Hardees,"201 n, goose creek, sc, 29445, us",8.504893617021272,8.79,4.194871170562791,2.7999999999999994,48,16,6.31,7.3,11.52,,,sc,29445,Berkeley,2024-03-28,1,0,1,0
31,Hardees,"2020 w market st, york, pa, 17404, us",7.127058823529413,5.79,5.226227332770236,0.0,82,2,5.79,6.89,0.0,,,pa,17404,York,2024-03-28,1,0,1,0
32,Hardees,"206 s main st, clover, sc, 29710, us",8.967808219178078,7.61,5.699937333607777,0.0,74,3,5.19,6.4,10.64,1.68,,sc,29710,York,2024-03-28,1,0,1,0
33,Hardees,"2105 e broadway ave, maryville, tn, 37804, us",7.072500000000001,5.98,5.421361106770144,3.0,148,17,5.16,7.23,0.0,2.63,,tn,37804,Blount,2024-03-28,1,0,1,0
34,Hardees,"2109 savannah hwy., charleston, sc, 29414, us",8.619999999999996,8.855,4.16614460497535,4.5,47,20,6.31,7.3,11.52,,,sc,29414,Charleston,2024-03-28,1,0,1,0
