,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
400,Jack in the Box,"1602 w university dr, edinburg, tx, 78539, us",6.7265986394557915,6.24,3.380960395013702,4.5,147,37,5.36,10.23,3.36,2.99,4.36,tx,78539,Hidalgo,2024-03-29,1,0,1,0
401,Jack in the Box,"16330 r r 620, round rock, tx, 78681, us",8.374632352941179,7.49,4.177492899294883,4.5,136,25,6.11,12.35,4.11,3.74,5.36,tx,78681,Williamson,2024-03-29,1,0,1,0
402,Jack in the Box,"2120 south interstate 35, round rock, tx, 78681, us",8.418750000000005,7.615,4.169779659417057,4.2,136,36,6.24,12.35,4.11,3.74,5.36,tx,78681,Williamson,2024-03-29,1,0,1,0
403,Wendy,"17560 rr -620, round rock, tx, 78681, us",6.004655172413792,5.48,2.7659993614064398,4.9,99,15,6.94,0.0,3.16,2.79,0.0,tx,78681,Williamson,2024-03-29,1,0,1,0
404,Shake Shack,"1402 n interstate hwy 35, round rock, tx, 78681, us",7.300869565217392,7.19,2.6482338873515694,4.5,47,158,8.19,,7.89,7.59,4.79,tx,78681,Williamson,2024-03-29,1,0,1,0
405,Burger King,"17000 n rm 620, round rock, tx, 78681, us",12.752916666666666,8.22,17.842355034011685,4.4,48,37,,,3.13,,,tx,78681,Williamson,2024-03-29,1,0,1,0
406,Burger King,"2500 s i h 35, round rock, tx, 78681, us",8.160129870129875,7.19,5.708118277405264,4.4,77,45,7.39,12.19,2.69,3.59,3.39,tx,78681,Williamson,2024-03-29,1,0,1,0
407,Sonic,"1320, round rock, tx, 78681, us",4.460833333333335,4.01,1.9790098183463143,0.0,86,9,8.04,0.0,4.01,,0.0,tx,78681,Williamson,2024-03-29,1,0,1,0
408,Jack in the Box,"1700 fm 685, pflugerville, tx, 78660, us",8.27612676056336,7.11,4.142350977130566,4.1,284,61,6.24,12.35,4.11,3.74,5.36,tx,78660,Travis,2024-03-29,1,0,1,0
409,Five Guys,"2424 fm 685 ste 200, pflugerville, tx, 78660, us",8.555517241379308,8.87,3.265480464418037,4.8,29,62,13.55,,10.55,9.23,7.55,tx,78660,Travis,2024-03-29,1,0,1,0
